position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Pachuca,2,2,0,0,6,5,1,4,1.0,3.0,2.5,0.5
2,Toluca,2,2,0,0,6,4,1,3,1.0,3.0,2.0,0.5
3,CF Monterrey,2,2,0,0,6,5,3,2,1.0,3.0,2.5,1.5
4,Atlas,2,2,0,0,6,4,2,2,1.0,3.0,2.0,1.0
5,Club Necaxa,2,2,0,0,6,4,2,2,1.0,3.0,2.0,1.0
6,CD Cruz Azul,4,2,0,2,6,8,8,0,0.5,1.5,2.0,2.0
7,Santos Laguna,4,2,0,2,6,6,6,0,0.5,1.5,1.5,1.5
8,UNAM Pumas,4,2,0,2,6,6,6,0,0.5,1.5,1.5,1.5
9,Club Tijuana,4,2,0,2,6,5,5,0,0.5,1.5,1.25,1.25
10,Puebla FC,4,2,0,2,6,4,4,0,0.5,1.5,1.0,1.0
11,Querétaro FC,4,2,0,2,6,4,4,0,0.5,1.5,1.0,1.0
12,FC Juárez,4,2,0,2,6,2,2,0,0.5,1.5,0.5,0.5
13,Tigres UANL,4,1,2,1,5,8,8,0,0.25,1.25,2.0,2.0
14,San Luis,2,1,1,0,4,5,4,1,0.5,2.0,2.5,2.0
15,CF Atlante,2,1,1,0,4,3,2,1,0.5,2.0,1.5,1.0
16,América,2,1,1,0,4,2,1,1,0.5,2.0,1.0,0.5
17,Chivas,2,1,0,1,3,2,1,1,0.5,1.5,1.0,0.5
18,Club León FC,2,1,0,1,3,3,3,0,0.5,1.5,1.5,1.5
19,León,2,1,0,1,3,3,3,0,0.5,1.5,1.5,1.5
20,Deportivo Guadalajara,2,1,0,1,3,1,2,-1,0.5,1.5,0.5,1.0
21,Atlético de San Luis,2,0,1,1,1,4,5,-1,0.0,0.5,2.0,2.5
22,Atlante,2,0,1,1,1,2,3,-1,0.0,0.5,1.0,1.5
23,CF América,2,0,1,1,1,1,2,-1,0.0,0.5,0.5,1.0
24,Monterrey,2,0,0,2,0,3,5,-2,0.0,0.0,1.5,2.5
25,Atlas Guadalajara,2,0,0,2,0,2,4,-2,0.0,0.0,1.0,2.0
26,Necaxa,2,0,0,2,0,2,4,-2,0.0,0.0,1.0,2.0
27,Deportivo Toluca,2,0,0,2,0,1,4,-3,0.0,0.0,0.5,2.0
28,CF Pachuca,2,0,0,2,0,1,5,-4,0.0,0.0,0.5,2.5
