position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Santos Laguna,34,19,6,9,63,62,43,19,0.559,1.85,1.82,1.26
2,Tigres UANL,34,16,11,7,59,44,29,15,0.471,1.74,1.29,0.85
3,Monarcas Morelia,34,16,9,9,57,50,40,10,0.471,1.68,1.47,1.18
4,Monterrey,34,16,8,10,56,59,41,18,0.471,1.65,1.74,1.21
5,Cruz Azul,34,14,12,8,54,50,35,15,0.412,1.59,1.47,1.03
6,Pachuca,34,14,12,8,54,52,42,10,0.412,1.59,1.53,1.24
7,Jaguares de Chiapas,34,15,8,11,53,54,43,11,0.441,1.56,1.59,1.26
8,América,34,12,11,11,47,56,49,7,0.353,1.38,1.65,1.44
9,Club Tijuana,34,10,16,8,46,39,34,5,0.294,1.35,1.15,1.0
10,Chivas,34,12,9,13,45,36,39,-3,0.353,1.32,1.06,1.15
11,Toluca,34,10,12,12,42,43,54,-11,0.294,1.24,1.26,1.59
12,Puebla FC,34,11,8,15,41,45,52,-7,0.324,1.21,1.32,1.53
13,UNAM Pumas,34,10,11,13,41,32,43,-11,0.294,1.21,0.94,1.26
14,Querétaro,34,10,8,16,38,38,51,-13,0.294,1.12,1.12,1.5
15,Club San Luis,34,9,9,16,36,38,50,-12,0.265,1.06,1.12,1.47
16,Atlante,34,9,8,17,35,44,59,-15,0.265,1.03,1.29,1.74
17,Atlas,34,6,14,14,32,27,43,-16,0.176,0.94,0.79,1.26
18,Estudiantes Tecos,34,8,6,20,30,36,58,-22,0.235,0.88,1.06,1.71
