position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Cruz Azul,34,22,9,3,75,65,28,37,0.647,2.21,1.91,0.82
2,Toluca,34,21,9,4,72,79,38,41,0.618,2.12,2.32,1.12
3,Tigres UANL,34,20,7,7,67,49,29,20,0.588,1.97,1.44,0.85
4,América,34,18,7,9,61,61,31,30,0.529,1.79,1.79,0.91
5,Monterrey,34,17,8,9,59,58,42,16,0.5,1.74,1.71,1.24
6,UNAM Pumas,34,15,7,12,52,44,39,5,0.441,1.53,1.29,1.15
7,León,34,12,12,10,48,45,44,1,0.353,1.41,1.32,1.29
8,Atlético San Luis,34,15,3,16,48,47,52,-5,0.441,1.41,1.38,1.53
9,Club Tijuana,34,14,6,14,48,53,60,-7,0.412,1.41,1.56,1.76
10,Chivas,34,12,10,12,46,42,36,6,0.353,1.35,1.24,1.06
11,Necaxa,34,13,7,14,46,56,55,1,0.382,1.35,1.65,1.62
12,Pachuca,34,11,8,15,41,49,52,-3,0.324,1.21,1.44,1.53
13,FC Juárez,34,11,8,15,41,38,57,-19,0.324,1.21,1.12,1.68
14,Atlas,34,9,13,12,40,42,55,-13,0.265,1.18,1.24,1.62
15,Querétaro,34,9,5,20,32,30,55,-25,0.265,0.94,0.88,1.62
16,Mazatlán FC,34,6,13,15,31,26,45,-19,0.176,0.91,0.76,1.32
17,Puebla FC,34,6,5,23,23,29,56,-27,0.176,0.68,0.85,1.65
18,Santos Laguna,34,4,5,25,17,27,66,-39,0.118,0.5,0.79,1.94
