id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result,source,referee,venue,venue_city,attendance,home_xg,away_xg,home_manager,away_manager,home_system_of_play,away_system_of_play,source_matchday,sources_agree,n_sources
4616,2025-07-12,2025,apertura,1,Club Tijuana,Querétaro,1.0,0.0,FINISHED,1.0,1.0,LOCAL,transfermarkt,Vicente Reynoso,Estadio Caliente,,18333.0,,,Sebastián Abreu,Benjamín Mora,4-1-4-1,4-5-1,1,True,1
4617,2025-07-12,2025,apertura,1,FC Juárez,América,1.0,1.0,FINISHED,2.0,0.0,EMPATE,transfermarkt,Ismael López Peñuelas,Estadio Olímpico Benito Juárez,,18098.0,,,Martín Varini,André Jardine,3-4-3,3-4-3,1,True,1
4618,2025-07-12,2025,apertura,1,Puebla FC,Atlas,2.0,3.0,FINISHED,5.0,-1.0,VISITANTE,transfermarkt,Mario Terrazas Chávez,Estadio Cuauhtémoc,,11433.0,,,Pablo Guede,Gonzalo Pineda,4-3-3 Attacking,5-3-2,1,True,1
4619,2025-07-13,2025,apertura,1,Cruz Azul,Mazatlán FC,0.0,0.0,FINISHED,0.0,0.0,EMPATE,transfermarkt,Maximiliano Quintero Hernández,Estadio Olímpico Universitario,,20098.0,,,Nicolás Larcamón,Robert Siboldi,3-4-2-1,3-4-2-1,1,True,1
4620,2025-07-13,2025,apertura,1,Santos Laguna,UNAM Pumas,3.0,0.0,FINISHED,3.0,3.0,LOCAL,transfermarkt,Yonatan Peinado Aguirre,Estadio Territorio Santos Modelo Corona,,11508.0,,,Francisco Rodríguez,Efraín Juárez,5-3-2,4-2-3-1,1,True,1
4621,2025-07-13,2025,apertura,1,Toluca,Necaxa,3.0,1.0,FINISHED,4.0,2.0,LOCAL,transfermarkt,Fernando Hernández Gómez,Estadio Nemesio Díez Riega,,27273.0,,,Antonio Mohamed,Fernando Gago,4-2-3-1,3-4-3,1,True,1
4622,2025-07-14,2025,apertura,1,León,Atlético San Luis,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,transfermarkt,Abraham Quirarte,Nou Camp,,21957.0,,,Eduardo Berizzo,Guillermo Abascal,4-1-4-1,4-2-3-1,1,True,1
4623,2025-07-14,2025,apertura,1,Pachuca,Monterrey,3.0,0.0,FINISHED,3.0,3.0,LOCAL,transfermarkt,Víctor Cáceres Hernández,Estadio Hidalgo,,13915.0,,,Jaime Lozano,Domènec Torrent,4-2-3-1,5-3-2,1,True,1
4624,2025-07-17,2025,apertura,2,América,Club Tijuana,3.0,1.0,FINISHED,4.0,2.0,LOCAL,transfermarkt,Marco Ortiz Nava,Estadio Azul,,20398.0,,,André Jardine,Sebastián Abreu,4-3-3 Attacking,4-1-4-1,2,True,1
4625,2025-07-17,2025,apertura,2,Santos Laguna,Toluca,2.0,4.0,FINISHED,6.0,-2.0,VISITANTE,transfermarkt,Salvador Pérez Villalobos,Estadio Territorio Santos Modelo Corona,,19155.0,,,Francisco Rodríguez,Antonio Mohamed,5-3-2,3-1-4-2,2,True,1
4626,2025-07-19,2025,apertura,2,Atlético San Luis,Monterrey,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,transfermarkt,Joaquín Vizcarra,Estadio Alfonso Lastras Ramírez,,16930.0,,,Guillermo Abascal,Domènec Torrent,4-2-3-1,3-4-3,2,True,1
4627,2025-07-19,2025,apertura,2,Mazatlán FC,Puebla FC,2.0,1.0,FINISHED,3.0,1.0,LOCAL,transfermarkt,Katia Itzel García,Estadio de Mazatlán,,8703.0,,,Robert Siboldi,Pablo Guede,3-4-2-1,5-4-1,2,True,1
4628,2025-07-19,2025,apertura,2,Necaxa,Querétaro,3.0,1.0,FINISHED,4.0,2.0,LOCAL,transfermarkt,Martín Molina Astorga,Estadio Victoria,,19108.0,,,Fernando Gago,Benjamín Mora,3-4-3,3-4-2-1,2,True,1
4629,2025-07-20,2025,apertura,2,Atlas,Cruz Azul,3.0,3.0,FINISHED,6.0,0.0,EMPATE,transfermarkt,Luis Santander Aguirre,Estadio Jalisco,,25098.0,,,Gonzalo Pineda,Nicolás Larcamón,4-2-3-1,3-5-2 Attacking,2,True,1
4630,2025-07-20,2025,apertura,2,León,Chivas,1.0,0.0,FINISHED,1.0,1.0,LOCAL,transfermarkt,Adonai Escobedo González,Nou Camp,,22185.0,,,Eduardo Berizzo,Gabriel Milito,4-2-3-1,3-4-2-1,2,True,1
4631,2025-07-20,2025,apertura,2,Tigres UANL,FC Juárez,1.0,0.0,FINISHED,1.0,1.0,LOCAL,transfermarkt,Iván López Sánchez,Estadio Universitario,,41615.0,,,Guido Pizarro,Martín Varini,4-4-2,4-3-2-1,2,True,1
4632,2025-07-20,2025,apertura,2,UNAM Pumas,Pachuca,2.0,3.0,FINISHED,5.0,-1.0,VISITANTE,transfermarkt,Luis García Rodríguez,Estadio Olímpico Universitario,,24277.0,,,Efraín Juárez,Jaime Lozano,4-4-2,4-2-3-1,2,True,1
4633,2025-07-26,2025,apertura,3,Club Tijuana,FC Juárez,1.0,1.0,FINISHED,2.0,0.0,EMPATE,transfermarkt,Joaquín Vizcarra,Estadio Caliente,,18133.0,,,Sebastián Abreu,Martín Varini,4-1-4-1,4-4-1-1,3,True,1
4634,2025-07-26,2025,apertura,3,Pachuca,Mazatlán FC,1.0,0.0,FINISHED,1.0,1.0,LOCAL,transfermarkt,Karen Hernández Andrade,Estadio Hidalgo,,11747.0,,,Jaime Lozano,Robert Siboldi,4-2-3-1,4-2-3-1,3,True,1
4635,2025-07-26,2025,apertura,3,Puebla FC,Santos Laguna,1.0,0.0,FINISHED,1.0,1.0,LOCAL,transfermarkt,Jorge Camacho Peregrina,Estadio Cuauhtémoc,,13250.0,,,Francisco Rodríguez,,3-4-2-1,5-3-2,3,True,1
4636,2025-07-26,2025,apertura,3,Querétaro,UNAM Pumas,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,transfermarkt,Mario Terrazas Chávez,Estadio La Corregidora,,23432.0,,,Benjamín Mora,Efraín Juárez,3-4-3,4-2-3-1,3,True,1
4637,2025-07-27,2025,apertura,3,Chivas,Atlético San Luis,4.0,3.0,FINISHED,7.0,1.0,LOCAL,transfermarkt,César Ramos Palazuelos,Estadio Akron,,38832.0,,,Gabriel Milito,Guillermo Abascal,3-4-2-1,4-2-3-1,3,True,1
4638,2025-07-27,2025,apertura,3,Cruz Azul,León,4.0,1.0,FINISHED,5.0,3.0,LOCAL,transfermarkt,Daniel Quintero,Estadio Olímpico Universitario,,20094.0,,,Nicolás Larcamón,Eduardo Berizzo,3-4-2-1,4-3-1-2,3,True,1
4639,2025-07-27,2025,apertura,3,Monterrey,Atlas,3.0,1.0,FINISHED,4.0,2.0,LOCAL,transfermarkt,Fernando Hernández Gómez,Estadio BBVA,,47160.0,,,Domènec Torrent,Gonzalo Pineda,3-4-3,3-4-3,3,True,1
4640,2025-07-27,2025,apertura,3,Necaxa,América,1.0,1.0,FINISHED,2.0,0.0,EMPATE,transfermarkt,Jesús López Valle,Estadio Victoria,,20586.0,,,Fernando Gago,André Jardine,4-3-1-2,4-2-3-1,3,True,1
