fixture_id,date,status,round,season,home_team,away_team,home_score,away_score
864095,2022-07-02T02:05:00+00:00,Match Finished,Apertura - 1,2022,Mazatlán,Puebla,2,4
864096,2022-07-02T22:00:00+00:00,Match Finished,Apertura - 1,2022,Guadalajara Chivas,FC Juarez,0,0
864094,2022-07-02T22:00:00+00:00,Match Finished,Apertura - 1,2022,Necaxa,Toluca,1,3
864097,2022-07-03T00:05:00+00:00,Match Finished,Apertura - 1,2022,Tigres UANL,Cruz Azul,2,3
864098,2022-07-03T02:05:00+00:00,Match Finished,Apertura - 1,2022,Club America,Atlas,0,0
864099,2022-07-03T17:00:00+00:00,Match Finished,Apertura - 1,2022,U.N.A.M. - Pumas,Club Tijuana,1,1
864100,2022-07-03T22:00:00+00:00,Match Finished,Apertura - 1,2022,Atletico San Luis,Leon,1,2
864101,2022-07-04T00:05:00+00:00,Match Finished,Apertura - 1,2022,Santos Laguna,Monterrey,4,3
864102,2022-07-05T02:00:00+00:00,Match Finished,Apertura - 1,2022,Pachuca,Club Queretaro,2,0
864103,2022-07-09T00:00:00+00:00,Match Finished,Apertura - 2,2022,Mazatlán,Tigres UANL,0,1
864105,2022-07-09T02:05:00+00:00,Match Finished,Apertura - 2,2022,Club Tijuana,FC Juarez,0,2
864104,2022-07-09T02:05:00+00:00,Match Finished,Apertura - 2,2022,Puebla,Santos Laguna,1,0
864111,2022-07-10T00:00:00+00:00,Match Finished,Apertura - 2,2022,Leon,U.N.A.M. - Pumas,3,3
864106,2022-07-10T00:05:00+00:00,Match Finished,Apertura - 2,2022,Guadalajara Chivas,Atletico San Luis,0,1
864108,2022-07-10T02:05:00+00:00,Match Finished,Apertura - 2,2022,Monterrey,Club America,3,2
864107,2022-07-10T02:05:00+00:00,Match Finished,Apertura - 2,2022,Cruz Azul,Pachuca,1,2
864109,2022-07-10T17:00:00+00:00,Match Finished,Apertura - 2,2022,Toluca,Atlas,3,2
864110,2022-07-10T22:00:00+00:00,Match Finished,Apertura - 2,2022,Club Queretaro,Necaxa,1,2
864112,2022-07-14T02:00:00+00:00,Match Finished,Apertura - 3,2022,Club America,Toluca,1,0
864113,2022-07-16T00:00:00+00:00,Match Finished,Apertura - 3,2022,Puebla,Leon,1,1
864114,2022-07-16T02:05:00+00:00,Match Finished,Apertura - 3,2022,FC Juarez,Club Queretaro,1,1
864115,2022-07-16T22:00:00+00:00,Match Finished,Apertura - 3,2022,Atlas,Cruz Azul,3,2
864116,2022-07-17T00:05:00+00:00,Match Finished,Apertura - 3,2022,Santos Laguna,Guadalajara Chivas,1,1
864117,2022-07-17T17:00:00+00:00,Match Finished,Apertura - 3,2022,U.N.A.M. - Pumas,Necaxa,1,0
864118,2022-07-17T22:00:00+00:00,Match Finished,Apertura - 3,2022,Atletico San Luis,Monterrey,0,1
864119,2022-07-18T00:00:00+00:00,Match Finished,Apertura - 3,2022,Tigres UANL,Club Tijuana,1,0
864120,2022-07-19T00:00:00+00:00,Match Finished,Apertura - 3,2022,Pachuca,Mazatlán,1,1
864121,2022-07-21T02:05:00+00:00,Match Finished,Apertura - 4,2022,Guadalajara Chivas,Leon,0,0
864122,2022-07-22T02:00:00+00:00,Match Finished,Apertura - 4,2022,Club Queretaro,Monterrey,0,3
864123,2022-07-23T00:00:00+00:00,Match Finished,Apertura - 4,2022,Mazatlán,Atletico San Luis,1,1
864124,2022-07-23T02:05:00+00:00,Match Finished,Apertura - 4,2022,Necaxa,FC Juarez,1,0
864125,2022-07-23T22:00:00+00:00,Match Finished,Apertura - 4,2022,Toluca,Santos Laguna,2,1
864126,2022-07-24T00:05:00+00:00,Match Finished,Apertura - 4,2022,Cruz Azul,Puebla,2,2
864128,2022-07-24T01:00:00+00:00,Match Finished,Apertura - 4,2022,Club Tijuana,Club America,2,0
864127,2022-07-24T02:05:00+00:00,Match Finished,Apertura - 4,2022,Tigres UANL,Atlas,2,0
864129,2022-07-25T00:00:00+00:00,Match Finished,Apertura - 4,2022,Pachuca,U.N.A.M. - Pumas,0,0
864131,2022-07-27T00:00:00+00:00,Match Finished,Apertura - 5,2022,Monterrey,Puebla,1,0
864130,2022-07-27T00:00:00+00:00,Match Finished,Apertura - 5,2022,Atlas,Club Tijuana,1,2
864132,2022-07-27T00:00:00+00:00,Match Finished,Apertura - 5,2022,FC Juarez,Tigres UANL,0,1
864134,2022-07-27T02:05:00+00:00,Match Finished,Apertura - 5,2022,Leon,Toluca,0,1
864133,2022-07-27T02:05:00+00:00,Match Finished,Apertura - 5,2022,Atletico San Luis,Cruz Azul,0,0
864136,2022-07-28T00:00:00+00:00,Match Finished,Apertura - 5,2022,Necaxa,Pachuca,2,0
864135,2022-07-28T00:00:00+00:00,Match Finished,Apertura - 5,2022,Club Queretaro,Guadalajara Chivas,2,2
864137,2022-07-28T02:05:00+00:00,Match Finished,Apertura - 5,2022,U.N.A.M. - Pumas,Mazatlán,1,1
864139,2022-07-30T02:05:00+00:00,Match Finished,Apertura - 6,2022,FC Juarez,Toluca,1,1
864140,2022-07-30T22:00:00+00:00,Match Finished,Apertura - 6,2022,Cruz Azul,Necaxa,1,0
864141,2022-07-31T00:05:00+00:00,Match Finished,Apertura - 6,2022,Tigres UANL,Club Queretaro,2,1
864142,2022-07-31T02:05:00+00:00,Match Finished,Apertura - 6,2022,Guadalajara Chivas,Pachuca,0,0
