id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result,source,referee,venue,venue_city,attendance,home_xg,away_xg,home_manager,away_manager,home_system_of_play,away_system_of_play,source_matchday,sources_agree,n_sources
1,2010-07-23,2010,apertura,1,Estudiantes Tecos,Cruz Azul,0.0,3.0,FINISHED,3.0,-3.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
2,2010-07-24,2010,apertura,1,Atlante,Santos Laguna,1.0,4.0,FINISHED,5.0,-3.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
3,2010-07-24,2010,apertura,1,Chivas,Puebla FC,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,1,True,1
4,2010-07-24,2010,apertura,1,Club San Luis,Monterrey,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,1,True,1
5,2010-07-24,2010,apertura,1,Jaguares de Chiapas,Necaxa,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,1,True,1
6,2010-07-24,2010,apertura,1,Pachuca,América,3.0,0.0,FINISHED,3.0,3.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
7,2010-07-24,2010,apertura,1,Tigres UANL,Querétaro,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
8,2010-07-25,2010,apertura,1,Monarcas Morelia,Atlas,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
9,2010-07-25,2010,apertura,1,UNAM Pumas,Toluca,2.0,1.0,FINISHED,3.0,1.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
10,2010-07-30,2010,apertura,2,Necaxa,Tigres UANL,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,openfootball,,,,,,,,,,,2,True,1
11,2010-07-31,2010,apertura,2,Cruz Azul,Atlante,2.0,0.0,FINISHED,2.0,2.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
12,2010-07-31,2010,apertura,2,Monterrey,Estudiantes Tecos,3.0,2.0,FINISHED,5.0,1.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
13,2010-07-31,2010,apertura,2,Querétaro,Atlas,2.0,1.0,FINISHED,3.0,1.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
14,2010-07-31,2010,apertura,2,Santos Laguna,UNAM Pumas,4.0,0.0,FINISHED,4.0,4.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
15,2010-08-01,2010,apertura,2,América,Jaguares de Chiapas,3.0,0.0,FINISHED,3.0,3.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
16,2010-08-01,2010,apertura,2,Puebla FC,Club San Luis,2.0,1.0,FINISHED,3.0,1.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
17,2010-08-01,2010,apertura,2,Toluca,Pachuca,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,2,True,1
18,2010-08-07,2010,apertura,3,Atlante,Monterrey,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,3,True,1
19,2010-08-07,2010,apertura,3,Atlas,Necaxa,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,3,True,1
20,2010-08-07,2010,apertura,3,Club San Luis,Chivas,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,3,True,1
21,2010-08-07,2010,apertura,3,Jaguares de Chiapas,Toluca,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,3,True,1
22,2010-08-07,2010,apertura,3,Pachuca,Santos Laguna,0.0,3.0,FINISHED,3.0,-3.0,VISITANTE,openfootball,,,,,,,,,,,3,True,1
23,2010-08-07,2010,apertura,3,Tigres UANL,América,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,3,True,1
24,2010-08-08,2010,apertura,3,Estudiantes Tecos,Puebla FC,1.0,3.0,FINISHED,4.0,-2.0,VISITANTE,openfootball,,,,,,,,,,,3,True,1
25,2010-08-08,2010,apertura,3,Monarcas Morelia,Querétaro,6.0,0.0,FINISHED,6.0,6.0,LOCAL,openfootball,,,,,,,,,,,3,True,1
26,2010-08-08,2010,apertura,3,UNAM Pumas,Cruz Azul,2.0,0.0,FINISHED,2.0,2.0,LOCAL,openfootball,,,,,,,,,,,3,True,1
27,2010-08-13,2010,apertura,4,Necaxa,Querétaro,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,4,True,1
28,2010-08-14,2010,apertura,4,Club San Luis,Monarcas Morelia,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,4,True,1
29,2010-08-14,2010,apertura,4,Cruz Azul,Pachuca,4.0,1.0,FINISHED,5.0,3.0,LOCAL,openfootball,,,,,,,,,,,4,True,1
30,2010-08-14,2010,apertura,4,Monterrey,UNAM Pumas,5.0,2.0,FINISHED,7.0,3.0,LOCAL,openfootball,,,,,,,,,,,4,True,1
31,2010-08-14,2010,apertura,4,Santos Laguna,Jaguares de Chiapas,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,4,True,1
32,2010-08-15,2010,apertura,4,América,Atlas,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,4,True,1
33,2010-08-15,2010,apertura,4,Puebla FC,Atlante,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,4,True,1
34,2010-08-15,2010,apertura,4,Toluca,Tigres UANL,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,4,True,1
35,2010-08-20,2010,apertura,5,Estudiantes Tecos,Club San Luis,3.0,2.0,FINISHED,5.0,1.0,LOCAL,openfootball,,,,,,,,,,,5,True,1
36,2010-08-21,2010,apertura,5,Atlante,Chivas,2.0,1.0,FINISHED,3.0,1.0,LOCAL,openfootball,,,,,,,,,,,5,True,1
37,2010-08-21,2010,apertura,5,Atlas,Toluca,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,5,True,1
38,2010-08-21,2010,apertura,5,Jaguares de Chiapas,Cruz Azul,2.0,3.0,FINISHED,5.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,5,True,1
39,2010-08-21,2010,apertura,5,Pachuca,Monterrey,2.0,2.0,FINISHED,4.0,0.0,EMPATE,openfootball,,,,,,,,,,,5,True,1
40,2010-08-21,2010,apertura,5,Tigres UANL,Santos Laguna,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,5,True,1
41,2010-08-22,2010,apertura,5,Monarcas Morelia,Necaxa,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,5,True,1
42,2010-08-22,2010,apertura,5,Querétaro,América,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,5,True,1
43,2010-08-22,2010,apertura,5,UNAM Pumas,Puebla FC,4.0,1.0,FINISHED,5.0,3.0,LOCAL,openfootball,,,,,,,,,,,5,True,1
44,2010-08-27,2010,apertura,6,Estudiantes Tecos,Monarcas Morelia,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,6,True,1
45,2010-08-28,2010,apertura,6,Chivas,UNAM Pumas,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,6,True,1
46,2010-08-28,2010,apertura,6,Club San Luis,Atlante,2.0,1.0,FINISHED,3.0,1.0,LOCAL,openfootball,,,,,,,,,,,6,True,1
47,2010-08-28,2010,apertura,6,Cruz Azul,Tigres UANL,3.0,2.0,FINISHED,5.0,1.0,LOCAL,openfootball,,,,,,,,,,,6,True,1
48,2010-08-28,2010,apertura,6,Monterrey,Jaguares de Chiapas,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,6,True,1
49,2010-08-28,2010,apertura,6,Santos Laguna,Atlas,3.0,1.0,FINISHED,4.0,2.0,LOCAL,openfootball,,,,,,,,,,,6,True,1
50,2010-08-29,2010,apertura,6,América,Necaxa,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,6,True,1
51,2010-08-29,2010,apertura,6,Puebla FC,Pachuca,3.0,1.0,FINISHED,4.0,2.0,LOCAL,openfootball,,,,,,,,,,,6,True,1
52,2010-08-29,2010,apertura,6,Toluca,Querétaro,2.0,0.0,FINISHED,2.0,2.0,LOCAL,openfootball,,,,,,,,,,,6,True,1
53,2010-09-05,2010,apertura,4,Chivas,Estudiantes Tecos,3.0,0.0,FINISHED,3.0,3.0,LOCAL,openfootball,,,,,,,,,,,4,True,1
54,2010-09-10,2010,apertura,7,Necaxa,Toluca,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,7,True,1
55,2010-09-11,2010,apertura,7,Atlante,Estudiantes Tecos,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,7,True,1
