position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,América,34,17,12,5,63,58,30,28,0.5,1.85,1.71,0.88
2,Monarcas Morelia,34,14,15,5,57,50,34,16,0.412,1.68,1.47,1.0
3,Tigres UANL,34,15,11,8,56,53,32,21,0.441,1.65,1.56,0.94
4,Cruz Azul,34,14,13,7,55,57,35,22,0.412,1.62,1.68,1.03
5,Club Tijuana,34,15,10,9,55,42,36,6,0.441,1.62,1.24,1.06
6,Toluca,34,15,7,12,52,42,38,4,0.441,1.53,1.24,1.12
7,Santos Laguna,34,14,10,10,52,42,39,3,0.412,1.53,1.24,1.15
8,UNAM Pumas,34,15,7,12,52,37,37,0,0.441,1.53,1.09,1.09
9,León,34,13,10,11,49,48,35,13,0.382,1.44,1.41,1.03
10,Monterrey,34,12,10,12,46,45,45,0,0.353,1.35,1.32,1.32
11,Atlas,34,10,14,10,44,36,37,-1,0.294,1.29,1.06,1.09
12,Pachuca,34,11,8,15,41,31,45,-14,0.324,1.21,0.91,1.32
13,Chivas,34,9,12,13,39,32,41,-9,0.265,1.15,0.94,1.21
14,Jaguares de Chiapas,34,10,9,15,39,44,56,-12,0.294,1.15,1.29,1.65
15,Atlante,34,9,6,19,33,39,61,-22,0.265,0.97,1.15,1.79
16,Puebla FC,34,8,8,18,32,36,54,-18,0.235,0.94,1.06,1.59
17,Club San Luis,34,7,10,17,31,33,49,-16,0.206,0.91,0.97,1.44
18,Querétaro,34,7,10,17,31,29,50,-21,0.206,0.91,0.85,1.47
