id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result,source,referee,venue,venue_city,attendance,home_xg,away_xg,home_manager,away_manager,home_system_of_play,away_system_of_play,source_matchday,sources_agree,n_sources
2755,2019-07-19,2019,apertura,1,Atlas,FC Juárez,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
2756,2019-07-19,2019,apertura,1,Puebla FC,Club Tijuana,1.0,3.0,FINISHED,4.0,-2.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
2757,2019-07-20,2019,apertura,1,América,Monterrey,4.0,2.0,FINISHED,6.0,2.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
2758,2019-07-20,2019,apertura,1,Atlético San Luis,UNAM Pumas,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
2759,2019-07-20,2019,apertura,1,Necaxa,Cruz Azul,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,1,True,1
2760,2019-07-20,2019,apertura,1,Pachuca,León,1.0,3.0,FINISHED,4.0,-2.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
2761,2019-07-20,2019,apertura,1,Tigres UANL,Monarcas Morelia,4.0,2.0,FINISHED,6.0,2.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
2762,2019-07-21,2019,apertura,1,Santos Laguna,Chivas,3.0,0.0,FINISHED,3.0,3.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
2763,2019-07-21,2019,apertura,1,Toluca,Querétaro,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
2764,2019-07-26,2019,apertura,2,Monarcas Morelia,Atlas,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,2,True,1
2765,2019-07-26,2019,apertura,2,Veracruz,Pachuca,3.0,3.0,FINISHED,6.0,0.0,EMPATE,openfootball,,,,,,,,,,,2,True,1
2766,2019-07-27,2019,apertura,2,Club Tijuana,Querétaro,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,2,True,1
