position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Tigres UANL,34,17,10,7,61,56,34,22,0.5,1.79,1.65,1.0
2,América,34,17,10,7,61,45,27,18,0.5,1.79,1.32,0.79
3,Atlas,34,15,11,8,56,42,25,17,0.441,1.65,1.24,0.74
4,Pachuca,34,16,8,10,56,49,36,13,0.471,1.65,1.44,1.06
5,Puebla FC,34,13,11,10,50,41,35,6,0.382,1.47,1.21,1.03
6,León,34,13,11,10,50,37,36,1,0.382,1.47,1.09,1.06
7,Cruz Azul,34,12,12,10,48,41,34,7,0.353,1.41,1.21,1.0
8,Monterrey,34,12,12,10,48,40,33,7,0.353,1.41,1.18,0.97
9,Chivas,34,12,12,10,48,38,34,4,0.353,1.41,1.12,1.0
10,Santos Laguna,34,10,14,10,44,48,41,7,0.294,1.29,1.41,1.21
11,UNAM Pumas,34,11,10,13,43,41,44,-3,0.324,1.26,1.21,1.29
12,Atlético San Luis,34,11,10,13,43,40,45,-5,0.324,1.26,1.18,1.32
13,Necaxa,34,13,4,17,43,37,43,-6,0.382,1.26,1.09,1.26
14,Toluca,34,11,10,13,43,43,58,-15,0.324,1.26,1.26,1.71
15,Mazatlán FC,34,11,8,15,41,38,48,-10,0.324,1.21,1.12,1.41
16,Querétaro,34,6,14,14,32,29,40,-11,0.176,0.94,0.85,1.18
17,Club Tijuana,34,7,11,16,32,30,53,-23,0.206,0.94,0.88,1.56
18,FC Juárez,34,7,6,21,27,24,53,-29,0.206,0.79,0.71,1.56
