id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result
290,2011-07-29,2011,apertura,1,Necaxa,Mérida FC,1.0,0.0,FINISHED,1.0,1.0,LOCAL
291,2011-07-29,2011,apertura,1,Correcaminos UAT,León,3.0,3.0,FINISHED,6.0,0.0,EMPATE
292,2011-07-29,2011,apertura,1,Leones Negros,Club Celaya,1.0,1.0,FINISHED,2.0,0.0,EMPATE
293,2011-07-30,2011,apertura,1,Lobos BUAP,Cruz Azul Hidalgo,1.0,0.0,FINISHED,1.0,1.0,LOCAL
294,2011-07-30,2011,apertura,1,Pumas Morelos,Veracruz,2.0,0.0,FINISHED,2.0,2.0,LOCAL
295,2011-07-30,2011,apertura,1,Indios Juárez,Dorados de Sinaloa,1.0,0.0,FINISHED,1.0,1.0,LOCAL
296,2011-07-30,2011,apertura,1,Club Irapuato,Reboceros de la Piedad,2.0,3.0,FINISHED,5.0,-1.0,VISITANTE
297,2011-07-31,2011,apertura,1,Neza FC,Estudiantes de Altamira,3.0,0.0,FINISHED,3.0,3.0,LOCAL
298,2011-08-05,2011,apertura,2,Estudiantes de Altamira,Lobos BUAP,0.0,0.0,FINISHED,0.0,0.0,EMPATE
299,2011-08-06,2011,apertura,2,Veracruz,Club Irapuato,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE
300,2011-08-06,2011,apertura,2,Mérida FC,Indios Juárez,1.0,1.0,FINISHED,2.0,0.0,EMPATE
301,2011-08-06,2011,apertura,2,Dorados de Sinaloa,Neza FC,2.0,2.0,FINISHED,4.0,0.0,EMPATE
302,2011-08-06,2011,apertura,2,León,Necaxa,2.0,0.0,FINISHED,2.0,2.0,LOCAL
303,2011-08-06,2011,apertura,2,Club Celaya,Pumas Morelos,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
304,2011-08-07,2011,apertura,2,Cruz Azul Hidalgo,Leones Negros,2.0,2.0,FINISHED,4.0,0.0,EMPATE
305,2011-08-07,2011,apertura,2,Reboceros de la Piedad,Correcaminos UAT,2.0,1.0,FINISHED,3.0,1.0,LOCAL
306,2011-08-12,2011,apertura,3,Correcaminos UAT,Necaxa,1.0,1.0,FINISHED,2.0,0.0,EMPATE
307,2011-08-12,2011,apertura,3,Leones Negros,Estudiantes de Altamira,0.0,3.0,FINISHED,3.0,-3.0,VISITANTE
308,2011-08-13,2011,apertura,3,Pumas Morelos,Cruz Azul Hidalgo,1.0,0.0,FINISHED,1.0,1.0,LOCAL
309,2011-08-13,2011,apertura,3,Indios Juárez,León,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
310,2011-08-13,2011,apertura,3,Club Irapuato,Club Celaya,3.0,1.0,FINISHED,4.0,2.0,LOCAL
311,2011-08-14,2011,apertura,3,Reboceros de la Piedad,Veracruz,2.0,0.0,FINISHED,2.0,2.0,LOCAL
312,2011-08-14,2011,apertura,3,Lobos BUAP,Dorados de Sinaloa,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
313,2011-08-14,2011,apertura,3,Neza FC,Mérida FC,2.0,1.0,FINISHED,3.0,1.0,LOCAL
314,2011-08-19,2011,apertura,4,Estudiantes de Altamira,Pumas Morelos,3.0,1.0,FINISHED,4.0,2.0,LOCAL
315,2011-08-19,2011,apertura,4,Necaxa,Indios Juárez,3.0,2.0,FINISHED,5.0,1.0,LOCAL
