position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,León,28,16,6,6,54,61,37,24,0.571,1.93,2.18,1.32
2,Santos Laguna,28,16,6,6,54,54,39,15,0.571,1.93,1.93,1.39
3,América,28,13,9,6,48,43,33,10,0.464,1.71,1.54,1.18
4,Tigres UANL,28,12,10,6,46,39,24,15,0.429,1.64,1.39,0.86
5,Cruz Azul,28,12,9,7,45,49,38,11,0.429,1.61,1.75,1.36
6,Querétaro,28,13,6,9,45,44,34,10,0.464,1.61,1.57,1.21
7,Necaxa,28,12,6,10,42,50,39,11,0.429,1.5,1.79,1.39
8,Monarcas Morelia,28,12,5,11,41,48,42,6,0.429,1.46,1.71,1.5
9,Chivas,28,11,8,9,41,41,39,2,0.393,1.46,1.46,1.39
10,Pachuca,28,11,6,11,39,43,38,5,0.393,1.39,1.54,1.36
11,UNAM Pumas,28,10,8,10,38,41,39,2,0.357,1.36,1.46,1.39
12,Atlético San Luis,28,9,6,13,33,33,46,-13,0.321,1.18,1.18,1.64
13,Club Tijuana,28,9,6,13,33,36,52,-16,0.321,1.18,1.29,1.86
14,Monterrey,28,8,8,12,32,37,40,-3,0.286,1.14,1.32,1.43
15,FC Juárez,28,9,5,14,32,37,45,-8,0.321,1.14,1.32,1.61
16,Puebla FC,28,8,7,13,31,27,38,-11,0.286,1.11,0.96,1.36
17,Atlas,28,9,3,16,30,29,43,-14,0.321,1.07,1.04,1.54
18,Toluca,28,6,9,13,27,32,44,-12,0.214,0.96,1.14,1.57
19,Veracruz,18,1,5,12,8,11,45,-34,0.056,0.44,0.61,2.5
