id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result,source,referee,venue,venue_city,attendance,home_xg,away_xg,home_manager,away_manager,home_system_of_play,away_system_of_play,source_matchday,sources_agree,n_sources
2143,2017-07-21,2017,apertura,1,Club Tijuana,Cruz Azul,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
2144,2017-07-21,2017,apertura,1,Monarcas Morelia,Monterrey,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,1,True,1
2145,2017-07-22,2017,apertura,1,América,Querétaro,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
2146,2017-07-22,2017,apertura,1,Chivas,Toluca,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,1,True,1
2147,2017-07-22,2017,apertura,1,León,Atlas,0.0,3.0,FINISHED,3.0,-3.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
2148,2017-07-22,2017,apertura,1,Lobos BUAP,Santos Laguna,2.0,2.0,FINISHED,4.0,0.0,EMPATE,openfootball,,,,,,,,,,,1,True,1
2149,2017-07-22,2017,apertura,1,Tigres UANL,Puebla FC,5.0,0.0,FINISHED,5.0,5.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
2150,2017-07-23,2017,apertura,1,UNAM Pumas,Pachuca,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
2151,2017-07-23,2017,apertura,1,Veracruz,Necaxa,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
2152,2017-07-28,2017,apertura,2,Atlas,UNAM Pumas,2.0,1.0,FINISHED,3.0,1.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
2153,2017-07-28,2017,apertura,2,Puebla FC,Monarcas Morelia,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,2,True,1
