position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Cruz Azul,34,19,8,7,65,49,36,13,0.559,1.91,1.44,1.06
2,América,34,18,8,8,62,52,29,23,0.529,1.82,1.53,0.85
3,Toluca,34,16,11,7,59,58,31,27,0.471,1.74,1.71,0.91
4,Santos Laguna,34,15,13,6,58,65,49,16,0.441,1.71,1.91,1.44
5,León,34,14,11,9,53,48,31,17,0.412,1.56,1.41,0.91
6,Monarcas Morelia,34,13,9,12,48,47,43,4,0.382,1.41,1.38,1.26
7,Jaguares de Chiapas,34,12,12,10,48,49,48,1,0.353,1.41,1.44,1.41
8,Querétaro,34,13,8,13,47,38,41,-3,0.382,1.38,1.12,1.21
9,Tigres UANL,34,11,13,10,46,36,37,-1,0.324,1.35,1.06,1.09
10,Club Tijuana,34,12,9,13,45,42,46,-4,0.353,1.32,1.24,1.35
11,Monterrey,34,11,10,13,43,42,43,-1,0.324,1.26,1.24,1.26
12,Pachuca,34,10,11,13,41,37,39,-2,0.294,1.21,1.09,1.15
13,Puebla FC,34,8,13,13,37,33,40,-7,0.235,1.09,0.97,1.18
14,UNAM Pumas,34,8,12,14,36,34,41,-7,0.235,1.06,1.0,1.21
15,Veracruz,34,7,15,12,36,34,49,-15,0.206,1.06,1.0,1.44
16,Atlas,34,6,15,13,33,35,47,-12,0.176,0.97,1.03,1.38
17,Chivas,34,7,12,15,33,29,48,-19,0.206,0.97,0.85,1.41
18,Atlante,34,8,6,20,30,39,69,-30,0.235,0.88,1.15,2.03
