id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result
1357,2016-07-15,2016,apertura,1,Correcaminos UAT,Zacatepec,0.0,0.0,FINISHED,0.0,0.0,EMPATE
1358,2016-07-15,2016,apertura,1,Deportivo Tepic,Cafetaleros de Tapachula,4.0,0.0,FINISHED,4.0,4.0,LOCAL
1359,2016-07-15,2016,apertura,1,Cimarrones de Sonora,Club Celaya,2.0,0.0,FINISHED,2.0,2.0,LOCAL
1360,2016-07-16,2016,apertura,1,Lobos BUAP,Murciélagos FC,0.0,0.0,FINISHED,0.0,0.0,EMPATE
1361,2016-07-16,2016,apertura,1,Potros UAEM,Leones Negros,2.0,4.0,FINISHED,6.0,-2.0,VISITANTE
1362,2016-07-16,2016,apertura,1,Loros UCOL,Venados FC,2.0,0.0,FINISHED,2.0,2.0,LOCAL
1363,2016-07-16,2016,apertura,1,Alebrijes de Oaxaca,Atlante,1.0,0.0,FINISHED,1.0,1.0,LOCAL
1364,2016-07-16,2016,apertura,1,FC Juárez,Mineros de Zacatecas,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
1365,2016-07-16,2016,apertura,1,Dorados de Sinaloa,TM Fútbol Club,5.0,1.0,FINISHED,6.0,4.0,LOCAL
1366,2016-07-22,2016,apertura,2,Mineros de Zacatecas,Cimarrones de Sonora,4.0,0.0,FINISHED,4.0,4.0,LOCAL
1367,2016-07-22,2016,apertura,2,Atlante,Correcaminos UAT,3.0,2.0,FINISHED,5.0,1.0,LOCAL
1368,2016-07-22,2016,apertura,2,Murciélagos FC,Potros UAEM,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
1369,2016-07-23,2016,apertura,2,Zacatepec,Dorados de Sinaloa,2.0,2.0,FINISHED,4.0,0.0,EMPATE
1370,2016-07-23,2016,apertura,2,Venados FC,Alebrijes de Oaxaca,1.0,3.0,FINISHED,4.0,-2.0,VISITANTE
1371,2016-07-23,2016,apertura,2,Club Celaya,Loros UCOL,3.0,0.0,FINISHED,3.0,3.0,LOCAL
1372,2016-07-23,2016,apertura,2,Cafetaleros de Tapachula,FC Juárez,1.0,1.0,FINISHED,2.0,0.0,EMPATE
1373,2016-07-23,2016,apertura,2,TM Fútbol Club,Lobos BUAP,0.0,0.0,FINISHED,0.0,0.0,EMPATE
1374,2016-07-24,2016,apertura,2,Leones Negros,Deportivo Tepic,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
1375,2016-07-29,2016,apertura,3,Cimarrones de Sonora,Cafetaleros de Tapachula,1.0,1.0,FINISHED,2.0,0.0,EMPATE
1376,2016-07-29,2016,apertura,3,Potros UAEM,TM Fútbol Club,1.0,0.0,FINISHED,1.0,1.0,LOCAL
1377,2016-07-29,2016,apertura,3,Correcaminos UAT,Venados FC,2.0,0.0,FINISHED,2.0,2.0,LOCAL
1378,2016-07-29,2016,apertura,3,Deportivo Tepic,Murciélagos FC,1.0,1.0,FINISHED,2.0,0.0,EMPATE
1379,2016-07-30,2016,apertura,3,Zacatepec,Atlante,2.0,1.0,FINISHED,3.0,1.0,LOCAL
1380,2016-07-30,2016,apertura,3,Loros UCOL,Mineros de Zacatecas,3.0,3.0,FINISHED,6.0,0.0,EMPATE
1381,2016-07-30,2016,apertura,3,Alebrijes de Oaxaca,Club Celaya,1.0,1.0,FINISHED,2.0,0.0,EMPATE
1382,2016-07-30,2016,apertura,3,FC Juárez,Leones Negros,1.0,1.0,FINISHED,2.0,0.0,EMPATE
1383,2016-07-30,2016,apertura,3,Dorados de Sinaloa,Lobos BUAP,5.0,0.0,FINISHED,5.0,5.0,LOCAL
