id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result
2510,2021-07-27,2021,apertura,1,Coyotes de Tlaxcala,Dorados de Sinaloa,1.0,1.0,FINISHED,2.0,0.0,EMPATE
2511,2021-07-27,2021,apertura,1,Venados FC,Club Celaya,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
2512,2021-07-27,2021,apertura,1,Cimarrones de Sonora,Tapatío,0.0,0.0,FINISHED,0.0,0.0,EMPATE
2513,2021-07-28,2021,apertura,1,TM Fútbol Club,Leones Negros,3.0,2.0,FINISHED,5.0,1.0,LOCAL
2514,2021-07-28,2021,apertura,1,CF Monterrey II,Cancún FC,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
2515,2021-07-29,2021,apertura,1,Atlético Morelia,Mineros de Zacatecas,2.0,2.0,FINISHED,4.0,0.0,EMPATE
2516,2021-07-30,2021,apertura,1,Pumas Tabasco,Alebrijes de Oaxaca,0.0,0.0,FINISHED,0.0,0.0,EMPATE
2517,2021-08-01,2021,apertura,1,Atlante,Correcaminos UAT,3.0,0.0,FINISHED,3.0,3.0,LOCAL
2518,2021-08-03,2021,apertura,2,Club Celaya,TM Fútbol Club,0.0,0.0,FINISHED,0.0,0.0,EMPATE
2519,2021-08-03,2021,apertura,2,Alebrijes de Oaxaca,Cimarrones de Sonora,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
2520,2021-08-03,2021,apertura,2,Dorados de Sinaloa,Atlético Morelia,3.0,1.0,FINISHED,4.0,2.0,LOCAL
2521,2021-08-04,2021,apertura,2,Mineros de Zacatecas,Leones Negros,2.0,1.0,FINISHED,3.0,1.0,LOCAL
2522,2021-08-04,2021,apertura,2,Venados FC,Coyotes de Tlaxcala,1.0,0.0,FINISHED,1.0,1.0,LOCAL
2523,2021-08-04,2021,apertura,2,Correcaminos UAT,Tepatitlán,2.0,1.0,FINISHED,3.0,1.0,LOCAL
2524,2021-08-05,2021,apertura,2,Tapatío,Pumas Tabasco,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
2525,2021-08-08,2021,apertura,2,Atlante,CF Monterrey II,2.0,1.0,FINISHED,3.0,1.0,LOCAL
2526,2021-08-10,2021,apertura,3,Atlético Morelia,Club Celaya,2.0,1.0,FINISHED,3.0,1.0,LOCAL
2527,2021-08-10,2021,apertura,3,Cancún FC,Correcaminos UAT,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
2528,2021-08-10,2021,apertura,3,TM Fútbol Club,Venados FC,3.0,0.0,FINISHED,3.0,3.0,LOCAL
2529,2021-08-11,2021,apertura,3,Coyotes de Tlaxcala,Alebrijes de Oaxaca,1.0,1.0,FINISHED,2.0,0.0,EMPATE
2530,2021-08-11,2021,apertura,3,Cimarrones de Sonora,Atlante,2.0,0.0,FINISHED,2.0,2.0,LOCAL
2531,2021-08-12,2021,apertura,3,Tepatitlán,Mineros de Zacatecas,3.0,2.0,FINISHED,5.0,1.0,LOCAL
2532,2021-08-12,2021,apertura,3,Leones Negros,Dorados de Sinaloa,0.0,0.0,FINISHED,0.0,0.0,EMPATE
2533,2021-08-13,2021,apertura,3,CF Monterrey II,Tapatío,2.0,0.0,FINISHED,2.0,2.0,LOCAL
2534,2021-08-17,2021,apertura,4,Mineros de Zacatecas,Pumas Tabasco,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
2535,2021-08-17,2021,apertura,4,Venados FC,CF Monterrey II,1.0,1.0,FINISHED,2.0,0.0,EMPATE
2536,2021-08-17,2021,apertura,4,Club Celaya,Coyotes de Tlaxcala,3.0,0.0,FINISHED,3.0,3.0,LOCAL
2537,2021-08-18,2021,apertura,4,Alebrijes de Oaxaca,Tepatitlán,2.0,3.0,FINISHED,5.0,-1.0,VISITANTE
2538,2021-08-18,2021,apertura,4,Correcaminos UAT,Leones Negros,2.0,2.0,FINISHED,4.0,0.0,EMPATE
2539,2021-08-18,2021,apertura,4,Dorados de Sinaloa,Cimarrones de Sonora,4.0,1.0,FINISHED,5.0,3.0,LOCAL
2540,2021-08-19,2021,apertura,4,Tapatío,Atlético Morelia,0.0,3.0,FINISHED,3.0,-3.0,VISITANTE
2541,2021-08-19,2021,apertura,4,Atlante,Cancún FC,1.0,0.0,FINISHED,1.0,1.0,LOCAL
2542,2021-08-24,2021,apertura,5,Tepatitlán,Venados FC,2.0,0.0,FINISHED,2.0,2.0,LOCAL
2543,2021-08-24,2021,apertura,5,Pumas Tabasco,Dorados de Sinaloa,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE
2544,2021-08-24,2021,apertura,5,TM Fútbol Club,Tapatío,1.0,1.0,FINISHED,2.0,0.0,EMPATE
