id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result
1663,2017-07-21,2017,apertura,1,Atlante,Cafetaleros de Tapachula,4.0,1.0,FINISHED,5.0,3.0,LOCAL
1664,2017-07-21,2017,apertura,1,Leones Negros,Correcaminos UAT,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
1665,2017-07-21,2017,apertura,1,Venados FC,Mineros de Zacatecas,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
1666,2017-07-21,2017,apertura,1,Cimarrones de Sonora,Murciélagos FC,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
1667,2017-07-22,2017,apertura,1,Alebrijes de Oaxaca,Atlético San Luis,2.0,1.0,FINISHED,3.0,1.0,LOCAL
1668,2017-07-22,2017,apertura,1,FC Juárez,Club Celaya,1.0,1.0,FINISHED,2.0,0.0,EMPATE
1669,2017-07-22,2017,apertura,1,TM Fútbol Club,Zacatepec,0.0,0.0,FINISHED,0.0,0.0,EMPATE
1670,2017-07-22,2017,apertura,1,Dorados de Sinaloa,Potros UAEM,3.0,2.0,FINISHED,5.0,1.0,LOCAL
1671,2017-07-28,2017,apertura,2,Mineros de Zacatecas,Dorados de Sinaloa,1.0,3.0,FINISHED,4.0,-2.0,VISITANTE
1672,2017-07-28,2017,apertura,2,Atlético San Luis,FC Juárez,2.0,0.0,FINISHED,2.0,2.0,LOCAL
1673,2017-07-28,2017,apertura,2,Correcaminos UAT,Alebrijes de Oaxaca,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
1674,2017-07-28,2017,apertura,2,Cafetaleros de Tapachula,Cimarrones de Sonora,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
1675,2017-07-28,2017,apertura,2,Murciélagos FC,Venados FC,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
1676,2017-07-29,2017,apertura,2,Potros UAEM,Leones Negros,2.0,1.0,FINISHED,3.0,1.0,LOCAL
1677,2017-07-29,2017,apertura,2,Zacatepec,Atlante,3.0,0.0,FINISHED,3.0,3.0,LOCAL
1678,2017-07-29,2017,apertura,2,Club Celaya,TM Fútbol Club,1.0,1.0,FINISHED,2.0,0.0,EMPATE
1679,2017-08-04,2017,apertura,3,Atlante,Club Celaya,1.0,0.0,FINISHED,1.0,1.0,LOCAL
1680,2017-08-04,2017,apertura,3,Leones Negros,Mineros de Zacatecas,0.0,4.0,FINISHED,4.0,-4.0,VISITANTE
1681,2017-08-04,2017,apertura,3,Venados FC,Dorados de Sinaloa,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE
1682,2017-08-04,2017,apertura,3,Cimarrones de Sonora,Zacatepec,0.0,0.0,FINISHED,0.0,0.0,EMPATE
1683,2017-08-04,2017,apertura,3,Murciélagos FC,Cafetaleros de Tapachula,3.0,0.0,FINISHED,3.0,3.0,LOCAL
