position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,América,4,3,1,0,10,8,1,7,0.75,2.5,2.0,0.25
2,Club Tijuana,4,3,1,0,10,6,2,4,0.75,2.5,1.5,0.5
3,Monterrey,4,3,0,1,9,12,5,7,0.75,2.25,3.0,1.25
4,Atlas,4,3,0,1,9,6,5,1,0.75,2.25,1.5,1.25
5,Toluca,4,2,1,1,7,6,3,3,0.5,1.75,1.5,0.75
6,UNAM Pumas,4,2,1,1,7,7,5,2,0.5,1.75,1.75,1.25
7,Querétaro,4,2,1,1,7,5,4,1,0.5,1.75,1.25,1.0
8,Chivas,4,2,1,1,7,3,3,0,0.5,1.75,0.75,0.75
9,Cruz Azul,4,2,0,2,6,8,8,0,0.5,1.5,2.0,2.0
10,Necaxa,3,2,0,1,6,5,5,0,0.667,2.0,1.67,1.67
11,Atlante,4,1,2,1,5,5,5,0,0.25,1.25,1.25,1.25
12,Puebla FC,3,1,1,1,4,3,3,0,0.333,1.33,1.0,1.0
13,Pachuca,3,1,0,2,3,4,3,1,0.333,1.0,1.33,1.0
14,León,3,1,0,2,3,3,4,-1,0.333,1.0,1.0,1.33
15,Atlético San Luis,4,0,2,2,2,4,8,-4,0.0,0.5,1.0,2.0
16,Tigres UANL,4,0,1,3,1,6,10,-4,0.0,0.25,1.5,2.5
17,Santos Laguna,4,0,0,4,0,2,8,-6,0.0,0.0,0.5,2.0
18,FC Juárez,4,0,0,4,0,2,13,-11,0.0,0.0,0.5,3.25
