id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result
3088,2023-07-21,2023,apertura,1,Venados FC,Coyotes de Tlaxcala,3.0,1.0,FINISHED,4.0,2.0,LOCAL
3089,2023-07-22,2023,apertura,1,Tapatío,Cancún FC,0.0,0.0,FINISHED,0.0,0.0,EMPATE
3090,2023-07-22,2023,apertura,1,Correcaminos UAT,Dorados de Sinaloa,2.0,0.0,FINISHED,2.0,2.0,LOCAL
3091,2023-07-23,2023,apertura,1,Tepatitlán,Cimarrones de Sonora,1.0,1.0,FINISHED,2.0,0.0,EMPATE
3092,2023-07-23,2023,apertura,1,Mineros de Zacatecas,Atlético Morelia,4.0,0.0,FINISHED,4.0,4.0,LOCAL
3093,2023-07-24,2023,apertura,1,Atlante,Leones Negros,1.0,0.0,FINISHED,1.0,1.0,LOCAL
3094,2023-07-26,2023,apertura,1,Atlético La Paz,Club Celaya,2.0,1.0,FINISHED,3.0,1.0,LOCAL
3095,2023-07-28,2023,apertura,2,Correcaminos UAT,Mineros de Zacatecas,3.0,3.0,FINISHED,6.0,0.0,EMPATE
3096,2023-07-29,2023,apertura,2,Coyotes de Tlaxcala,Atlante,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
3097,2023-07-29,2023,apertura,2,Cancún FC,Venados FC,2.0,1.0,FINISHED,3.0,1.0,LOCAL
3098,2023-07-30,2023,apertura,2,Leones Negros,Cimarrones de Sonora,4.0,2.0,FINISHED,6.0,2.0,LOCAL
3099,2023-07-30,2023,apertura,2,Dorados de Sinaloa,Atlético La Paz,3.0,4.0,FINISHED,7.0,-1.0,VISITANTE
3100,2023-07-31,2023,apertura,2,Alebrijes de Oaxaca,Tapatío,1.0,1.0,FINISHED,2.0,0.0,EMPATE
3101,2023-08-03,2023,apertura,3,Leones Negros,Alebrijes de Oaxaca,5.0,0.0,FINISHED,5.0,5.0,LOCAL
3102,2023-08-05,2023,apertura,3,Mineros de Zacatecas,Coyotes de Tlaxcala,5.0,1.0,FINISHED,6.0,4.0,LOCAL
3103,2023-08-05,2023,apertura,3,Cancún FC,Correcaminos UAT,2.0,1.0,FINISHED,3.0,1.0,LOCAL
3104,2023-08-05,2023,apertura,3,Cimarrones de Sonora,Dorados de Sinaloa,2.0,0.0,FINISHED,2.0,2.0,LOCAL
3105,2023-08-06,2023,apertura,3,Atlante,Tepatitlán,2.0,2.0,FINISHED,4.0,0.0,EMPATE
3106,2023-08-06,2023,apertura,3,Atlético Morelia,Club Celaya,1.0,0.0,FINISHED,1.0,1.0,LOCAL
3107,2023-08-06,2023,apertura,3,Atlético La Paz,Tapatío,2.0,2.0,FINISHED,4.0,0.0,EMPATE
3108,2023-08-10,2023,apertura,4,Tapatío,Club Celaya,1.0,1.0,FINISHED,2.0,0.0,EMPATE
3109,2023-08-11,2023,apertura,4,Alebrijes de Oaxaca,Mineros de Zacatecas,1.0,1.0,FINISHED,2.0,0.0,EMPATE
