id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result
725,2013-07-19,2013,apertura,1,Lobos BUAP,Zacatepec,1.0,0.0,FINISHED,1.0,1.0,LOCAL
726,2013-07-19,2013,apertura,1,Delfines del Carmen,Mérida FC,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
727,2013-07-19,2013,apertura,1,Correcaminos UAT,Club Celaya,4.0,2.0,FINISHED,6.0,2.0,LOCAL
728,2013-07-19,2013,apertura,1,Leones Negros,Estudiantes Tecos,0.0,0.0,FINISHED,0.0,0.0,EMPATE
729,2013-07-20,2013,apertura,1,Ballenas Galeana,Cruz Azul Hidalgo,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
730,2013-07-20,2013,apertura,1,Alebrijes de Oaxaca,Atlético San Luis,2.0,2.0,FINISHED,4.0,0.0,EMPATE
731,2013-07-20,2013,apertura,1,Estudiantes de Altamira,Necaxa,1.0,3.0,FINISHED,4.0,-2.0,VISITANTE
732,2013-07-26,2013,apertura,2,Estudiantes Tecos,Alebrijes de Oaxaca,1.0,1.0,FINISHED,2.0,0.0,EMPATE
733,2013-07-26,2013,apertura,2,Atlético San Luis,Estudiantes de Altamira,2.0,2.0,FINISHED,4.0,0.0,EMPATE
734,2013-07-26,2013,apertura,2,Necaxa,Lobos BUAP,3.0,0.0,FINISHED,3.0,3.0,LOCAL
735,2013-07-27,2013,apertura,2,Mérida FC,Leones Negros,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE
736,2013-07-27,2013,apertura,2,Dorados de Sinaloa,Ballenas Galeana,1.0,1.0,FINISHED,2.0,0.0,EMPATE
737,2013-07-27,2013,apertura,2,Club Celaya,Delfines del Carmen,1.0,1.0,FINISHED,2.0,0.0,EMPATE
738,2013-07-28,2013,apertura,2,Cruz Azul Hidalgo,Correcaminos UAT,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
739,2013-08-02,2013,apertura,3,Lobos BUAP,Atlético San Luis,1.0,0.0,FINISHED,1.0,1.0,LOCAL
740,2013-08-02,2013,apertura,3,Delfines del Carmen,Cruz Azul Hidalgo,3.0,0.0,FINISHED,3.0,3.0,LOCAL
741,2013-08-02,2013,apertura,3,Correcaminos UAT,Dorados de Sinaloa,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
742,2013-08-02,2013,apertura,3,Leones Negros,Club Celaya,2.0,0.0,FINISHED,2.0,2.0,LOCAL
743,2013-08-03,2013,apertura,3,Zacatepec,Necaxa,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
744,2013-08-03,2013,apertura,3,Alebrijes de Oaxaca,Mérida FC,2.0,0.0,FINISHED,2.0,2.0,LOCAL
745,2013-08-03,2013,apertura,3,Estudiantes de Altamira,Estudiantes Tecos,3.0,2.0,FINISHED,5.0,1.0,LOCAL
746,2013-08-09,2013,apertura,4,Estudiantes Tecos,Lobos BUAP,2.0,0.0,FINISHED,2.0,2.0,LOCAL
747,2013-08-09,2013,apertura,4,Atlético San Luis,Zacatepec,1.0,0.0,FINISHED,1.0,1.0,LOCAL
748,2013-08-10,2013,apertura,4,Ballenas Galeana,Correcaminos UAT,3.0,2.0,FINISHED,5.0,1.0,LOCAL
749,2013-08-10,2013,apertura,4,Mérida FC,Estudiantes de Altamira,3.0,1.0,FINISHED,4.0,2.0,LOCAL
750,2013-08-10,2013,apertura,4,Dorados de Sinaloa,Delfines del Carmen,1.0,1.0,FINISHED,2.0,0.0,EMPATE
751,2013-08-10,2013,apertura,4,Club Celaya,Alebrijes de Oaxaca,1.0,3.0,FINISHED,4.0,-2.0,VISITANTE
752,2013-08-11,2013,apertura,4,Cruz Azul Hidalgo,Leones Negros,2.0,0.0,FINISHED,2.0,2.0,LOCAL
753,2013-08-16,2013,apertura,5,Lobos BUAP,Mérida FC,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE
754,2013-08-16,2013,apertura,5,Delfines del Carmen,Ballenas Galeana,3.0,1.0,FINISHED,4.0,2.0,LOCAL
755,2013-08-16,2013,apertura,5,Necaxa,Atlético San Luis,0.0,0.0,FINISHED,0.0,0.0,EMPATE
756,2013-08-16,2013,apertura,5,Leones Negros,Dorados de Sinaloa,2.0,1.0,FINISHED,3.0,1.0,LOCAL
