position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Tigres UANL,34,17,9,8,60,48,32,16,0.5,1.76,1.41,0.94
2,América,34,17,9,8,60,49,36,13,0.5,1.76,1.44,1.06
3,Atlas,34,17,8,9,59,42,41,1,0.5,1.74,1.24,1.21
4,Toluca,34,14,11,9,53,44,36,8,0.412,1.56,1.29,1.06
5,Monterrey,34,15,6,13,51,47,47,0,0.441,1.5,1.38,1.38
6,Pachuca,34,14,8,12,50,45,39,6,0.412,1.47,1.32,1.15
7,Santos Laguna,34,12,12,10,48,47,45,2,0.353,1.41,1.38,1.32
8,Jaguares de Chiapas,34,12,12,10,48,45,50,-5,0.353,1.41,1.32,1.47
9,Querétaro,34,14,5,15,47,48,45,3,0.412,1.38,1.41,1.32
10,Cruz Azul,34,12,10,12,46,30,29,1,0.353,1.35,0.88,0.85
11,UNAM Pumas,34,12,10,12,46,46,47,-1,0.353,1.35,1.35,1.38
12,Club Tijuana,34,11,12,11,45,51,49,2,0.324,1.32,1.5,1.44
13,Veracruz,34,10,13,11,43,36,33,3,0.294,1.26,1.06,0.97
14,Chivas,34,10,12,12,42,33,36,-3,0.294,1.24,0.97,1.06
15,León,34,11,5,18,38,56,59,-3,0.324,1.12,1.65,1.74
16,Puebla FC,34,7,15,12,36,36,41,-5,0.206,1.06,1.06,1.21
17,Leones Negros,34,8,11,15,35,23,35,-12,0.235,1.03,0.68,1.03
18,Monarcas Morelia,34,5,8,21,23,33,59,-26,0.147,0.68,0.97,1.74
