position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Cruz Azul,34,19,11,4,68,63,38,25,0.559,2.0,1.85,1.12
2,Toluca,34,19,10,5,67,71,34,37,0.559,1.97,2.09,1.0
3,Chivas,34,20,5,9,65,62,39,23,0.588,1.91,1.82,1.15
4,Tigres UANL,34,17,10,7,61,63,34,29,0.5,1.79,1.85,1.0
5,América,34,17,8,9,59,53,35,18,0.5,1.74,1.56,1.03
6,UNAM Pumas,34,15,12,7,57,58,42,16,0.441,1.68,1.71,1.24
7,Pachuca,34,15,8,11,53,46,40,6,0.441,1.56,1.35,1.18
8,Monterrey,34,14,7,13,49,55,53,2,0.412,1.44,1.62,1.56
9,Club Tijuana,34,11,14,9,47,48,40,8,0.324,1.38,1.41,1.18
10,Atlas,34,11,10,13,43,40,53,-13,0.324,1.26,1.18,1.56
11,FC Juárez,34,11,9,14,42,53,60,-7,0.324,1.24,1.56,1.76
12,Querétaro,34,10,10,14,40,36,50,-14,0.294,1.18,1.06,1.47
13,Necaxa,34,9,8,17,35,43,57,-14,0.265,1.03,1.26,1.68
14,León,34,10,5,19,35,36,63,-27,0.294,1.03,1.06,1.85
15,Atlético San Luis,34,10,4,20,34,49,56,-7,0.294,1.0,1.44,1.65
16,Santos Laguna,34,9,5,20,32,42,66,-24,0.265,0.94,1.24,1.94
17,Mazatlán FC,34,6,11,17,29,42,66,-24,0.176,0.85,1.24,1.94
18,Puebla FC,34,6,7,21,25,34,68,-34,0.176,0.74,1.0,2.0
