position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Monterrey,34,18,6,10,60,70,52,18,0.529,1.76,2.06,1.53
2,León,34,19,3,12,60,61,50,11,0.559,1.76,1.79,1.47
3,América,34,17,6,11,57,64,43,21,0.5,1.68,1.88,1.26
4,UNAM Pumas,34,16,9,9,57,60,44,16,0.471,1.68,1.76,1.29
5,Toluca,34,15,9,10,54,53,45,8,0.441,1.59,1.56,1.32
6,Tigres UANL,34,14,10,10,52,55,35,20,0.412,1.53,1.62,1.03
7,Pachuca,34,14,9,11,51,61,49,12,0.412,1.5,1.79,1.44
8,Monarcas Morelia,34,15,6,13,51,51,50,1,0.441,1.5,1.5,1.47
9,Chivas,34,13,10,11,49,49,42,7,0.382,1.44,1.44,1.24
10,Puebla FC,34,13,10,11,49,43,46,-3,0.382,1.44,1.26,1.35
11,Santos Laguna,34,12,8,14,44,43,44,-1,0.353,1.29,1.26,1.29
12,Cruz Azul,34,10,12,12,42,44,49,-5,0.294,1.24,1.29,1.44
13,Querétaro,34,11,8,15,41,46,51,-5,0.324,1.21,1.35,1.5
14,Jaguares de Chiapas,34,11,8,15,41,47,60,-13,0.324,1.21,1.38,1.76
15,Veracruz,34,10,11,13,41,41,61,-20,0.294,1.21,1.21,1.79
16,Club Tijuana,34,8,10,16,34,38,56,-18,0.235,1.0,1.12,1.65
17,Atlas,34,8,7,19,31,35,54,-19,0.235,0.91,1.03,1.59
18,Dorados de Sinaloa,34,7,8,19,29,31,61,-30,0.206,0.85,0.91,1.79
