position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Club Tijuana,34,19,7,8,64,55,35,20,0.559,1.88,1.62,1.03
2,Tigres UANL,34,15,10,9,55,48,25,23,0.441,1.62,1.41,0.74
3,Pachuca,34,15,10,9,55,52,37,15,0.441,1.62,1.53,1.09
4,Chivas,34,15,10,9,55,42,35,7,0.441,1.62,1.24,1.03
5,Monterrey,34,13,13,8,52,56,39,17,0.382,1.53,1.65,1.15
6,América,34,14,10,10,52,48,45,3,0.412,1.53,1.41,1.32
7,Toluca,34,14,9,11,51,43,41,2,0.412,1.5,1.26,1.21
8,Necaxa,34,11,14,9,47,40,39,1,0.324,1.38,1.18,1.15
9,León,34,12,10,12,46,46,48,-2,0.353,1.35,1.35,1.41
10,Atlas,34,11,12,11,45,45,45,0,0.324,1.32,1.32,1.32
11,UNAM Pumas,34,13,6,15,45,49,52,-3,0.382,1.32,1.44,1.53
12,Monarcas Morelia,34,11,11,12,44,47,50,-3,0.324,1.29,1.38,1.47
13,Santos Laguna,34,9,15,10,42,44,50,-6,0.265,1.24,1.29,1.47
14,Cruz Azul,34,9,13,12,40,44,43,1,0.265,1.18,1.29,1.26
15,Querétaro,34,10,9,15,39,41,51,-10,0.294,1.15,1.21,1.5
16,Puebla FC,34,9,9,16,36,43,55,-12,0.265,1.06,1.26,1.62
17,Veracruz,34,10,3,21,33,36,58,-22,0.294,0.97,1.06,1.71
18,Jaguares de Chiapas,34,7,7,20,28,27,58,-31,0.206,0.82,0.79,1.71
