position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Monterrey,34,19,9,6,66,59,33,26,0.559,1.94,1.74,0.97
2,Toluca,34,19,8,7,65,48,34,14,0.559,1.91,1.41,1.0
3,Tigres UANL,34,16,12,6,60,51,32,19,0.471,1.76,1.5,0.94
4,América,34,16,11,7,59,47,32,15,0.471,1.74,1.38,0.94
5,Monarcas Morelia,34,15,8,11,53,47,41,6,0.441,1.56,1.38,1.21
6,Cruz Azul,34,12,13,9,49,44,40,4,0.353,1.44,1.29,1.18
7,León,34,14,6,14,48,51,56,-5,0.412,1.41,1.5,1.65
8,Santos Laguna,34,12,11,11,47,49,43,6,0.353,1.38,1.44,1.26
9,Necaxa,34,10,16,8,46,40,30,10,0.294,1.35,1.18,0.88
10,Club Tijuana,34,12,10,12,46,35,35,0,0.353,1.35,1.03,1.03
11,Atlas,34,12,7,15,43,40,45,-5,0.353,1.26,1.18,1.32
12,Pachuca,34,11,9,14,42,52,52,0,0.324,1.24,1.53,1.53
13,Puebla FC,34,10,9,15,39,37,44,-7,0.294,1.15,1.09,1.29
14,UNAM Pumas,34,9,10,15,37,38,49,-11,0.265,1.09,1.12,1.44
15,Querétaro,34,7,13,14,34,32,45,-13,0.206,1.0,0.94,1.32
16,Chivas,34,7,12,15,33,35,47,-12,0.206,0.97,1.03,1.38
17,Lobos BUAP,34,9,5,20,32,44,64,-20,0.265,0.94,1.29,1.88
18,Veracruz,34,9,5,20,32,26,53,-27,0.265,0.94,0.76,1.56
