id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result,source,referee,venue,venue_city,attendance,home_xg,away_xg,home_manager,away_manager,home_system_of_play,away_system_of_play,source_matchday,sources_agree,n_sources
1531,2015-07-24,2015,apertura,1,Veracruz,Chivas,2.0,0.0,FINISHED,2.0,2.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
1532,2015-07-25,2015,apertura,1,Atlas,Querétaro,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
1533,2015-07-25,2015,apertura,1,Cruz Azul,Monarcas Morelia,0.0,3.0,FINISHED,3.0,-3.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
1534,2015-07-25,2015,apertura,1,Dorados de Sinaloa,Jaguares de Chiapas,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,1,True,1
1535,2015-07-25,2015,apertura,1,Pachuca,Club Tijuana,2.0,1.0,FINISHED,3.0,1.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
1536,2015-07-25,2015,apertura,1,Santos Laguna,León,1.0,3.0,FINISHED,4.0,-2.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
1537,2015-07-25,2015,apertura,1,Tigres UANL,Toluca,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,1,True,1
1538,2015-07-26,2015,apertura,1,Puebla FC,América,4.0,2.0,FINISHED,6.0,2.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
1539,2015-07-26,2015,apertura,1,UNAM Pumas,Monterrey,3.0,0.0,FINISHED,3.0,3.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
1540,2015-07-31,2015,apertura,2,Club Tijuana,Dorados de Sinaloa,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,2,True,1
1541,2015-07-31,2015,apertura,2,Querétaro,Pachuca,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,2,True,1
1542,2015-08-01,2015,apertura,2,América,Atlas,1.0,3.0,FINISHED,4.0,-2.0,VISITANTE,openfootball,,,,,,,,,,,2,True,1
1543,2015-08-01,2015,apertura,2,Jaguares de Chiapas,Santos Laguna,2.0,1.0,FINISHED,3.0,1.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
1544,2015-08-01,2015,apertura,2,León,Veracruz,4.0,1.0,FINISHED,5.0,3.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
1545,2015-08-01,2015,apertura,2,Monarcas Morelia,Tigres UANL,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
1546,2015-08-02,2015,apertura,2,Chivas,Cruz Azul,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,2,True,1
1547,2015-08-02,2015,apertura,2,Toluca,UNAM Pumas,2.0,1.0,FINISHED,3.0,1.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
1548,2015-08-07,2015,apertura,3,Santos Laguna,Club Tijuana,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,3,True,1
1549,2015-08-07,2015,apertura,3,Veracruz,Jaguares de Chiapas,2.0,1.0,FINISHED,3.0,1.0,LOCAL,openfootball,,,,,,,,,,,3,True,1
1550,2015-08-08,2015,apertura,3,Atlas,Monterrey,0.0,3.0,FINISHED,3.0,-3.0,VISITANTE,openfootball,,,,,,,,,,,3,True,1
