position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Cruz Azul,34,19,8,7,65,58,33,25,0.559,1.91,1.71,0.97
2,UNAM Pumas,34,17,9,8,60,50,37,13,0.5,1.76,1.47,1.09
3,Tigres UANL,34,16,11,7,59,50,25,25,0.471,1.74,1.47,0.74
4,Monterrey,34,16,10,8,58,52,40,12,0.471,1.71,1.53,1.18
5,América,34,15,8,11,53,53,44,9,0.441,1.56,1.56,1.29
6,Santos Laguna,34,16,5,13,53,51,42,9,0.471,1.56,1.5,1.24
7,Monarcas Morelia,34,14,10,10,52,48,40,8,0.412,1.53,1.41,1.18
8,Chivas,34,10,17,7,47,39,30,9,0.294,1.38,1.15,0.88
9,Club San Luis,34,12,11,11,47,41,37,4,0.353,1.38,1.21,1.09
10,Atlante,34,12,7,15,43,45,44,1,0.353,1.26,1.32,1.29
11,Toluca,34,10,13,11,43,46,47,-1,0.294,1.26,1.35,1.38
12,Pachuca,34,11,10,13,43,43,53,-10,0.324,1.26,1.26,1.56
13,Jaguares de Chiapas,34,10,9,15,39,36,44,-8,0.294,1.15,1.06,1.29
14,Puebla FC,34,10,7,17,37,37,52,-15,0.294,1.09,1.09,1.53
15,Atlas,34,9,9,16,36,37,46,-9,0.265,1.06,1.09,1.35
16,Querétaro,34,9,8,17,35,34,63,-29,0.265,1.03,1.0,1.85
17,Estudiantes Tecos,34,8,8,18,32,39,70,-31,0.235,0.94,1.15,2.06
18,Necaxa,34,7,10,17,31,24,36,-12,0.206,0.91,0.71,1.06
