position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Monterrey,36,25,6,5,81,69,29,40,0.694,2.25,1.92,0.81
2,América,34,21,9,4,72,74,38,36,0.618,2.12,2.18,1.12
3,Pachuca,34,19,6,9,63,60,39,21,0.559,1.85,1.76,1.15
4,Toluca,34,16,11,7,59,61,42,19,0.471,1.74,1.79,1.24
5,Chivas,34,15,11,8,56,47,35,12,0.441,1.65,1.38,1.03
6,Tigres UANL,34,16,7,11,55,44,31,13,0.471,1.62,1.29,0.91
7,León,34,14,10,10,52,48,42,6,0.412,1.53,1.41,1.24
8,Santos Laguna,34,15,7,12,52,61,58,3,0.441,1.53,1.79,1.71
9,Cruz Azul,34,14,6,14,48,47,56,-9,0.412,1.41,1.38,1.65
10,Puebla FC,34,10,12,12,42,51,55,-4,0.294,1.24,1.5,1.62
11,Atlético San Luis,35,9,10,16,37,32,47,-15,0.257,1.06,0.91,1.34
12,Atlas,34,7,13,14,34,43,49,-6,0.206,1.0,1.26,1.44
13,FC Juárez,34,7,13,14,34,34,43,-9,0.206,1.0,1.0,1.26
14,Necaxa,35,8,9,18,33,36,52,-16,0.229,0.94,1.03,1.49
15,Club Tijuana,34,7,12,15,33,37,59,-22,0.206,0.97,1.09,1.74
16,UNAM Pumas,34,7,11,16,32,45,63,-18,0.206,0.94,1.32,1.85
17,Querétaro,34,5,14,15,29,34,56,-22,0.147,0.85,1.0,1.65
18,Mazatlán FC,34,5,9,20,24,36,65,-29,0.147,0.71,1.06,1.91
