id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result,source,referee,venue,venue_city,attendance,home_xg,away_xg,home_manager,away_manager,home_system_of_play,away_system_of_play,source_matchday,sources_agree,n_sources
3385,2021-07-22,2021,apertura,1,Querétaro,América,0.0,0.0,FINISHED,0.0,0.0,EMPATE,fbref,Marco Ortíz,,,10221.0,0.4,1.4,,,4-1-4-1,,1,True,2
3386,2021-07-23,2021,apertura,1,FC Juárez,Toluca,1.0,3.0,FINISHED,4.0,-2.0,VISITANTE,fbref,Jorge Rojas,,,7345.0,0.4,2.9,,,4-5-1,,1,True,2
3387,2021-07-23,2021,apertura,1,Necaxa,Santos Laguna,0.0,3.0,FINISHED,3.0,-3.0,VISITANTE,fbref,Jorge Pérez,,,9153.0,1.4,1.7,,,4-3-3,,1,True,2
3388,2021-07-24,2021,apertura,1,Chivas,Atlético San Luis,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE,fbref,Eduardo Basulto,,,11647.0,1.7,0.8,,,4-4-2,,1,True,2
3389,2021-07-24,2021,apertura,1,Pachuca,León,4.0,0.0,FINISHED,4.0,4.0,LOCAL,fbref,Alejandro Funk,,,,2.6,0.7,,,5-3-2,,1,True,2
3390,2021-07-25,2021,apertura,1,Club Tijuana,Tigres UANL,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE,fbref,Óscar Macias,,,4333.0,1.2,0.7,,,4-3-3,,1,True,2
3391,2021-07-25,2021,apertura,1,Monterrey,Puebla FC,1.0,1.0,FINISHED,2.0,0.0,EMPATE,fbref,Oscar Mejia,,,20267.0,1.5,1.2,,,4-2-3-1,,1,True,2
3392,2021-07-25,2021,apertura,1,UNAM Pumas,Atlas,0.0,0.0,FINISHED,0.0,0.0,EMPATE,fbref,Luis Santander,,,,0.6,1.3,,,4-2-3-1,,1,True,2
3393,2021-07-26,2021,apertura,1,Cruz Azul,Mazatlán FC,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,fbref,Diego Montaño,,,9598.0,1.6,0.8,,,3-4-3,,1,True,2
3394,2021-07-30,2021,apertura,2,Mazatlán FC,Pachuca,2.0,1.0,FINISHED,3.0,1.0,LOCAL,fbref,Edgar Rangel,,,4675.0,2.0,1.1,,,3-5-2,,2,True,2
3395,2021-07-30,2021,apertura,2,Puebla FC,Chivas,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,fbref,Fernando Guerrero,,,6800.0,0.9,0.6,,,3-4-1-2,,2,True,2
3396,2021-07-31,2021,apertura,2,América,Necaxa,2.0,1.0,FINISHED,3.0,1.0,LOCAL,fbref,Fernando Hernández,,,9590.0,1.2,1.9,,,4-1-4-1,,2,True,2
3397,2021-07-31,2021,apertura,2,Atlas,FC Juárez,2.0,0.0,FINISHED,2.0,2.0,LOCAL,fbref,Oscar Mejia,,,7859.0,1.0,0.2,,,4-2-3-1,,2,True,2
3398,2021-07-31,2021,apertura,2,León,Club Tijuana,2.0,1.0,FINISHED,3.0,1.0,LOCAL,fbref,Jorge Pérez,,,8863.0,2.8,2.1,,,4-3-3,,2,True,2
3399,2021-07-31,2021,apertura,2,Monterrey,UNAM Pumas,2.0,0.0,FINISHED,2.0,2.0,LOCAL,fbref,Adonai Escobedo,,,20943.0,1.9,0.6,,,4-2-3-1,,2,True,2
3400,2021-08-01,2021,apertura,2,Santos Laguna,Cruz Azul,1.0,1.0,FINISHED,2.0,0.0,EMPATE,fbref,Jorge Rojas,,,12200.0,2.0,0.2,,,4-2-3-1,,2,True,2
3401,2021-08-01,2021,apertura,2,Toluca,Tigres UANL,3.0,1.0,FINISHED,4.0,2.0,LOCAL,fbref,Victor Caceres,,,8540.0,1.8,0.9,,,4-2-3-1,,2,True,2
3402,2021-08-02,2021,apertura,2,Atlético San Luis,Querétaro,1.0,1.0,FINISHED,2.0,0.0,EMPATE,fbref,Luis Santander,,,6917.0,2.8,0.9,,,5-3-2,,2,True,2
3403,2021-08-05,2021,apertura,3,Querétaro,León,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,fbref,Daniel Quintero,,,10031.0,1.1,1.3,,,4-2-3-1,,3,True,2
3404,2021-08-06,2021,apertura,3,Club Tijuana,Toluca,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,fbref,Diego Montaño,,,5333.0,0.9,0.8,,,4-2-3-1,,3,True,2
3405,2021-08-06,2021,apertura,3,Mazatlán FC,Monterrey,1.0,1.0,FINISHED,2.0,0.0,EMPATE,fbref,Mario Vargas,,,6543.0,0.7,1.1,,,3-5-2,,3,True,2
3406,2021-08-06,2021,apertura,3,Necaxa,Cruz Azul,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE,fbref,Adonai Escobedo,,,13187.0,1.8,1.0,,,4-4-2,,3,True,2
3407,2021-08-07,2021,apertura,3,América,Puebla FC,2.0,0.0,FINISHED,2.0,2.0,LOCAL,fbref,César Arturo Ramos,,,8567.0,2.4,1.1,,,4-2-3-1,,3,True,2
3408,2021-08-07,2021,apertura,3,Chivas,FC Juárez,2.0,2.0,FINISHED,4.0,0.0,EMPATE,fbref,Fernando Hernández,,,9208.0,1.8,1.4,,,3-4-3,,3,True,2
3409,2021-08-07,2021,apertura,3,Tigres UANL,Santos Laguna,1.0,1.0,FINISHED,2.0,0.0,EMPATE,fbref,Marco Ortíz,,,14350.0,1.0,1.8,,,4-4-2,,3,True,2
3410,2021-08-08,2021,apertura,3,UNAM Pumas,Atlético San Luis,1.0,3.0,FINISHED,4.0,-2.0,VISITANTE,fbref,Óscar Macias,,,,1.2,1.4,,,4-2-3-1,,3,True,2
3411,2021-08-09,2021,apertura,3,Pachuca,Atlas,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,fbref,Guillermo Pacheco Larios,,,,1.5,1.4,,,4-3-1-2,,3,True,2
3412,2021-08-12,2021,apertura,4,Atlético San Luis,Necaxa,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,fbref,César Arturo Ramos,,,4128.0,1.2,1.2,,,3-1-4-2,,4,True,2
3413,2021-08-13,2021,apertura,4,FC Juárez,Club Tijuana,1.0,1.0,FINISHED,2.0,0.0,EMPATE,fbref,Edgar Morales,,,7806.0,1.9,0.3,,,4-2-3-1,,4,True,2
