id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result,source,referee,venue,venue_city,attendance,home_xg,away_xg,home_manager,away_manager,home_system_of_play,away_system_of_play,source_matchday,sources_agree,n_sources
4310,2024-07-05 16:45:00,2024,apertura,1,Puebla FC,Santos Laguna,1.0,0.0,FINISHED,1.0,1.0,LOCAL,api_football,J. Camacho,Estadio Cuauhtémoc,Puebla,,,,,,,,1,True,2
4311,2024-07-05 19:00:00,2024,apertura,1,Querétaro,Club Tijuana,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE,api_football,L. García,Estadio Corregidora,Santiago de Querétaro,,,,,,,,1,True,2
4312,2024-07-05 21:10:00,2024,apertura,1,FC Juárez,Atlas,2.0,2.0,FINISHED,4.0,0.0,EMPATE,api_football,Ó. Macías,Estadio Olímpico Benito Juárez,Ciudad Juárez,,,,,,,,1,True,2
4313,2024-07-06 17:00:00,2024,apertura,1,Atlético San Luis,América,2.0,1.0,FINISHED,3.0,1.0,LOCAL,api_football,I. López,Estadio Alfonso Lastras Ramírez,San Luis Potosí,,,,,,,,1,True,2
4314,2024-07-06 19:00:00,2024,apertura,1,Chivas,Toluca,0.0,0.0,FINISHED,0.0,0.0,EMPATE,api_football,J. Lopez,Estadio AKRON,Zapopan,,,,,,,,1,True,2
4315,2024-07-06 19:00:00,2024,apertura,1,Tigres UANL,Necaxa,1.0,0.0,FINISHED,1.0,1.0,LOCAL,api_football,V. Arce,Estadio Universitario,San Nicolás de los Garza,,,,,,,,1,True,2
4316,2024-07-06 21:00:00,2024,apertura,1,Cruz Azul,Mazatlán FC,1.0,0.0,FINISHED,1.0,1.0,LOCAL,api_football,K. Hernández,Estadio Ciudad de los Deportes,D.F.,,,,,,,,1,True,2
4317,2024-07-07 12:00:00,2024,apertura,1,UNAM Pumas,León,4.0,1.0,FINISHED,5.0,3.0,LOCAL,api_football,M. Quintero,Estadio Olímpico Universitario,D.F.,,,,,,,,1,True,2
4318,2024-07-07 19:06:00,2024,apertura,1,Pachuca,Monterrey,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,api_football,I. Lopez,Estadio Hidalgo,Pachuca de Soto,,,,,,,,1,True,2
4319,2024-07-12 19:00:00,2024,apertura,2,América,Querétaro,3.0,1.0,FINISHED,4.0,2.0,LOCAL,api_football,K. Garcia,Estadio Ciudad de los Deportes,D.F.,,,,,,,,2,True,2
4320,2024-07-12 21:00:00,2024,apertura,2,Club Tijuana,Chivas,4.0,2.0,FINISHED,6.0,2.0,LOCAL,api_football,I. López,Estadio Caliente,Tijuana,,,,,,,,2,True,2
4321,2024-07-12 21:00:00,2024,apertura,2,Mazatlán FC,Atlético San Luis,2.0,2.0,FINISHED,4.0,0.0,EMPATE,api_football,M. Molina,Estadio El Encanto,Mazatlán,,,,,,,,2,True,2
4322,2024-07-12 21:05:00,2024,apertura,2,Atlas,Tigres UANL,1.0,1.0,FINISHED,2.0,0.0,EMPATE,api_football,J. Camacho,Estadio Jalisco,Guadalajara,,,,,,,,2,True,2
4323,2024-07-13 17:00:00,2024,apertura,2,León,Pachuca,0.0,0.0,FINISHED,0.0,0.0,EMPATE,api_football,S. Pérez Villalobos,Estadio León,León de los Aldamas,,,,,,,,2,True,2
4324,2024-07-13 17:00:00,2024,apertura,2,Necaxa,Puebla FC,4.0,1.0,FINISHED,5.0,3.0,LOCAL,api_football,A. Quirarte,Estadio Victoria,Aguascalientes,,,,,,,,2,True,2
4325,2024-07-13 19:10:00,2024,apertura,2,Toluca,FC Juárez,3.0,2.0,FINISHED,5.0,1.0,LOCAL,api_football,V. Arce,Estadio Nemesio Díez,Toluca de Lerdo,,,,,,,,2,True,2
4326,2024-07-13 19:25:00,2024,apertura,2,Santos Laguna,UNAM Pumas,1.0,1.0,FINISHED,2.0,0.0,EMPATE,api_football,M. Terrazas,Estadio Corona,Torreón,,,,,,,,2,True,2
4327,2024-07-13 21:10:00,2024,apertura,2,Monterrey,Cruz Azul,0.0,4.0,FINISHED,4.0,-4.0,VISITANTE,api_football,M. Quintero,Estadio BBVA,Guadalupe,,,,,,,,2,True,2
4328,2024-07-16 19:00:00,2024,apertura,3,Atlas,Santos Laguna,1.0,0.0,FINISHED,1.0,1.0,LOCAL,api_football,L. Santander,Estadio Jalisco,Guadalajara,,,,,,,,3,True,2
4329,2024-07-16 19:00:00,2024,apertura,3,Pachuca,Atlético San Luis,2.0,0.0,FINISHED,2.0,2.0,LOCAL,api_football,V. Cáceres,Estadio Hidalgo,Pachuca de Soto,,,,,,,,3,True,2
4330,2024-07-16 19:00:00,2024,apertura,3,Querétaro,Chivas,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,api_football,F. Hernández,Estadio Corregidora,Santiago de Querétaro,,,,,,,,3,True,2
4331,2024-07-16 21:00:00,2024,apertura,3,Puebla FC,León,2.0,2.0,FINISHED,4.0,0.0,EMPATE,api_football,M. Ortíz,Estadio Cuauhtémoc,Puebla,,,,,,,,3,True,2
4332,2024-07-16 21:05:00,2024,apertura,3,Cruz Azul,Club Tijuana,3.0,0.0,FINISHED,3.0,3.0,LOCAL,api_football,I. Lopez,Estadio Ciudad de los Deportes,D.F.,,,,,,,,3,True,2
4333,2024-07-17 19:00:00,2024,apertura,3,Necaxa,Monterrey,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,api_football,J. Lopez,Estadio Victoria,Aguascalientes,,,,,,,,3,True,2
4334,2024-07-17 19:06:00,2024,apertura,3,FC Juárez,UNAM Pumas,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE,api_football,D. Quintero,Estadio Olímpico Benito Juárez,Ciudad Juárez,,,,,,,,3,True,2
4335,2024-07-17 21:00:00,2024,apertura,3,Tigres UANL,América,1.0,0.0,FINISHED,1.0,1.0,LOCAL,api_football,F. Guerrero,Estadio Universitario,San Nicolás de los Garza,,,,,,,,3,True,2
4336,2024-07-17 21:00:00,2024,apertura,3,Toluca,Mazatlán FC,3.0,0.0,FINISHED,3.0,3.0,LOCAL,api_football,A. Escobedo,Estadio Nemesio Díez,Toluca de Lerdo,,,,,,,,3,True,2
4337,2024-07-19 19:00:00,2024,apertura,4,Atlético San Luis,Club Tijuana,1.0,1.0,FINISHED,2.0,0.0,EMPATE,api_football,M. Terrazas,Estadio Alfonso Lastras Ramírez,San Luis Potosí,,,,,,,,4,True,2
4338,2024-07-19 21:05:00,2024,apertura,4,Puebla FC,Atlas,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE,api_football,I. López,Estadio Cuauhtémoc,Puebla,,,,,,,,4,True,2
4339,2024-07-20 17:05:00,2024,apertura,4,Chivas,Mazatlán FC,2.0,0.0,FINISHED,2.0,2.0,LOCAL,api_football,Ó. Mejía,Estadio AKRON,Zapopan,,,,,,,,4,True,2
4340,2024-07-20 19:00:00,2024,apertura,4,Monterrey,Querétaro,2.0,1.0,FINISHED,3.0,1.0,LOCAL,api_football,V. Cáceres,Estadio BBVA,Guadalupe,,,,,,,,4,True,2
4341,2024-07-20 19:00:00,2024,apertura,4,Santos Laguna,Tigres UANL,0.0,3.0,FINISHED,3.0,-3.0,VISITANTE,api_football,M. Ortíz,Estadio Corona,Torreón,,,,,,,,4,True,2
4342,2024-07-20 21:05:00,2024,apertura,4,Cruz Azul,Toluca,1.0,1.0,FINISHED,2.0,0.0,EMPATE,api_football,J. Lopez,Estadio Ciudad de los Deportes,D.F.,,,,,,,,4,True,2
4343,2024-07-20 21:10:00,2024,apertura,4,FC Juárez,América,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE,api_football,M. Quintero,Estadio Olímpico Benito Juárez,Ciudad Juárez,,,,,,,,4,True,2
4344,2024-07-21 17:00:00,2024,apertura,4,UNAM Pumas,Pachuca,2.0,0.0,FINISHED,2.0,2.0,LOCAL,api_football,V. Arce,Estadio Olímpico Universitario,D.F.,,,,,,,,4,True,2
4345,2024-07-21 19:05:00,2024,apertura,4,León,Necaxa,1.0,1.0,FINISHED,2.0,0.0,EMPATE,api_football,L. García,Estadio León,León de los Aldamas,,,,,,,,4,True,2
4346,2024-08-16 19:00:00,2024,apertura,16,Puebla FC,Monterrey,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE,api_football,S. Pérez Villalobos,Estadio Cuauhtémoc,Puebla,,,,,,,,16,True,2
4347,2024-08-18 18:05:00,2024,apertura,8,Club Tijuana,Santos Laguna,3.0,1.0,FINISHED,4.0,2.0,LOCAL,api_football,M. Quintero,Estadio Caliente,Tijuana,,,,,,,,8,True,2
4348,2024-08-18 20:00:00,2024,apertura,13,Atlético San Luis,Querétaro,4.0,0.0,FINISHED,4.0,4.0,LOCAL,api_football,J. Lopez,Estadio Alfonso Lastras Ramírez,San Luis Potosí,,,,,,,,13,True,2
4349,2024-08-23 19:00:00,2024,apertura,5,Querétaro,Cruz Azul,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,api_football,G. Pacheco,Estadio Corregidora,Santiago de Querétaro,,,,,,,,5,True,2
4350,2024-08-23 20:00:00,2024,apertura,5,Mazatlán FC,Pachuca,3.0,0.0,FINISHED,3.0,3.0,LOCAL,api_football,M. Ortíz,Estadio El Encanto,Mazatlán,,,,,,,,5,True,2
4351,2024-08-23 21:05:00,2024,apertura,5,Club Tijuana,Monterrey,2.0,2.0,FINISHED,4.0,0.0,EMPATE,api_football,C. Ramos,Estadio Caliente,Tijuana,,,,,,,,5,True,2
4352,2024-08-24 17:00:00,2024,apertura,5,Necaxa,FC Juárez,3.0,0.0,FINISHED,3.0,3.0,LOCAL,api_football,M. Molina,Estadio Victoria,Aguascalientes,,,,,,,,5,True,2
4353,2024-08-24 19:00:00,2024,apertura,5,Atlas,UNAM Pumas,2.0,1.0,FINISHED,3.0,1.0,LOCAL,api_football,F. Hernández,Estadio Jalisco,Guadalajara,,,,,,,,5,True,2
4354,2024-08-24 19:00:00,2024,apertura,5,León,Santos Laguna,1.0,1.0,FINISHED,2.0,0.0,EMPATE,api_football,A. Escobedo,Estadio León,León de los Aldamas,,,,,,,,5,True,2
4355,2024-08-24 19:00:00,2024,apertura,5,Tigres UANL,Chivas,1.0,1.0,FINISHED,2.0,0.0,EMPATE,api_football,D. Quintero,Estadio Universitario,San Nicolás de los Garza,,,,,,,,5,True,2
4356,2024-08-24 21:05:00,2024,apertura,5,América,Puebla FC,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,api_football,L. Santander,Estadio Ciudad de los Deportes,D.F.,,,,,,,,5,True,2
4357,2024-08-25 12:00:00,2024,apertura,5,Toluca,Atlético San Luis,2.0,1.0,FINISHED,3.0,1.0,LOCAL,api_football,K. Garcia,Estadio Nemesio Díez,Toluca de Lerdo,,,,,,,,5,True,2
4358,2024-08-30 19:00:00,2024,apertura,6,Atlético San Luis,Atlas,2.0,1.0,FINISHED,3.0,1.0,LOCAL,api_football,J. Camacho,Estadio Alfonso Lastras Ramírez,San Luis Potosí,,,,,,,,6,True,2
4359,2024-08-30 20:00:00,2024,apertura,6,Mazatlán FC,Puebla FC,1.0,1.0,FINISHED,2.0,0.0,EMPATE,api_football,I. Lopez,Estadio El Encanto,Mazatlán,,,,,,,,6,True,2
4360,2024-08-30 21:05:00,2024,apertura,6,Club Tijuana,León,2.0,1.0,FINISHED,3.0,1.0,LOCAL,api_football,V. Cáceres,Estadio Caliente,Tijuana,,,,,,,,6,True,2
4361,2024-08-31 17:00:00,2024,apertura,6,Pachuca,Querétaro,1.0,1.0,FINISHED,2.0,0.0,EMPATE,api_football,I. López,Estadio Hidalgo,Pachuca de Soto,,,,,,,,6,True,2
4362,2024-08-31 17:05:00,2024,apertura,6,Chivas,FC Juárez,5.0,0.0,FINISHED,5.0,5.0,LOCAL,api_football,A. Escobedo,Estadio AKRON,Zapopan,,,,,,,,6,True,2
4363,2024-08-31 19:00:00,2024,apertura,6,Monterrey,Toluca,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE,api_football,F. Guerrero,Estadio BBVA,Guadalupe,,,,,,,,6,True,2
4364,2024-08-31 21:10:00,2024,apertura,6,Cruz Azul,América,4.0,1.0,FINISHED,5.0,3.0,LOCAL,api_football,C. Ramos,Estadio Ciudad de los Deportes,D.F.,,,,,,,,6,True,2
4365,2024-09-01 17:00:00,2024,apertura,6,UNAM Pumas,Tigres UANL,1.0,3.0,FINISHED,4.0,-2.0,VISITANTE,api_football,Ó. Mejía,Estadio Olímpico Universitario,D.F.,,,,,,,,6,True,2
4366,2024-09-01 19:05:00,2024,apertura,6,Santos Laguna,Necaxa,3.0,2.0,FINISHED,5.0,1.0,LOCAL,api_football,G. Pacheco,Estadio Corona,Torreón,,,,,,,,6,True,2
4367,2024-09-13 18:00:00,2024,apertura,7,Puebla FC,Querétaro,2.0,1.0,FINISHED,3.0,1.0,LOCAL,api_football,V. Arce,Estadio Cuauhtémoc,Puebla,,,,,,,,7,True,2
4368,2024-09-13 19:00:00,2024,apertura,7,Atlas,Pachuca,2.0,0.0,FINISHED,2.0,2.0,LOCAL,api_football,L. Santander,Estadio Jalisco,Guadalajara,,,,,,,,7,True,2
4369,2024-09-13 20:10:00,2024,apertura,7,FC Juárez,Mazatlán FC,1.0,0.0,FINISHED,1.0,1.0,LOCAL,api_football,F. Hernández,Estadio Olímpico Benito Juárez,Ciudad Juárez,,,,,,,,7,True,2
4370,2024-09-13 20:10:00,2024,apertura,7,Tigres UANL,Atlético San Luis,1.0,0.0,FINISHED,1.0,1.0,LOCAL,api_football,M. Molina,Estadio Universitario,San Nicolás de los Garza,,,,,,,,7,True,2
4371,2024-09-13 21:00:00,2024,apertura,7,Necaxa,UNAM Pumas,2.0,0.0,FINISHED,2.0,2.0,LOCAL,api_football,K. Garcia,Estadio Victoria,Aguascalientes,,,,,,,,7,True,2
4372,2024-09-14 16:45:00,2024,apertura,7,Toluca,Club Tijuana,4.0,0.0,FINISHED,4.0,4.0,LOCAL,api_football,I. Lopez,Estadio Nemesio Díez,Toluca de Lerdo,,,,,,,,7,True,2
4373,2024-09-14 18:50:00,2024,apertura,7,América,Chivas,1.0,0.0,FINISHED,1.0,1.0,LOCAL,api_football,V. Cáceres,Estadio Ciudad de los Deportes,D.F.,,,,,,,,7,True,2
4374,2024-09-14 20:35:00,2024,apertura,7,León,Cruz Azul,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE,api_football,M. Quintero,Estadio León,León de los Aldamas,,,,,,,,7,True,2
4375,2024-09-14 21:00:00,2024,apertura,7,Santos Laguna,Monterrey,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,api_football,E. Miranda,Estadio Corona,Torreón,,,,,,,,7,True,2
4376,2024-09-17 19:00:00,2024,apertura,8,América,Atlas,3.0,0.0,FINISHED,3.0,3.0,LOCAL,api_football,A. Escobedo,Estadio Ciudad de los Deportes,D.F.,,,,,,,,8,True,2
4377,2024-09-17 19:00:00,2024,apertura,8,Atlético San Luis,Cruz Azul,3.0,1.0,FINISHED,4.0,2.0,LOCAL,api_football,Ó. Mejía,Estadio Alfonso Lastras Ramírez,San Luis Potosí,,,,,,,,8,True,2
4378,2024-09-17 19:00:00,2024,apertura,8,Pachuca,Toluca,2.0,2.0,FINISHED,4.0,0.0,EMPATE,api_football,J. Lopez,Estadio Hidalgo,Pachuca de Soto,,,,,,,,8,True,2
4379,2024-09-17 21:00:00,2024,apertura,8,Querétaro,Tigres UANL,1.0,0.0,FINISHED,1.0,1.0,LOCAL,api_football,F. Guerrero,Estadio Corregidora,Santiago de Querétaro,,,,,,,,8,True,2
4380,2024-09-17 21:05:00,2024,apertura,8,UNAM Pumas,Puebla FC,1.0,0.0,FINISHED,1.0,1.0,LOCAL,api_football,I. López,Estadio Olímpico Universitario,D.F.,,,,,,,,8,True,2
4381,2024-09-18 19:05:00,2024,apertura,8,Chivas,León,2.0,0.0,FINISHED,2.0,2.0,LOCAL,api_football,G. Pacheco,Estadio AKRON,Zapopan,,,,,,,,8,True,2
