position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,América,34,22,9,3,75,67,26,41,0.647,2.21,1.97,0.76
2,Monterrey,34,19,8,7,65,59,34,25,0.559,1.91,1.74,1.0
3,Tigres UANL,34,17,10,7,61,66,41,25,0.5,1.79,1.94,1.21
4,Chivas,35,17,8,10,59,47,40,7,0.486,1.69,1.34,1.14
5,UNAM Pumas,34,15,10,9,55,54,40,14,0.441,1.62,1.59,1.18
6,Toluca,35,14,12,9,54,62,43,19,0.4,1.54,1.77,1.23
7,Pachuca,34,14,9,11,51,50,54,-4,0.412,1.5,1.47,1.59
8,Cruz Azul,35,15,5,15,50,45,46,-1,0.429,1.43,1.29,1.31
9,Querétaro,36,13,10,13,49,44,51,-7,0.361,1.36,1.22,1.42
10,León,34,13,8,13,47,46,47,-1,0.382,1.38,1.35,1.38
11,Necaxa,36,10,13,13,43,50,59,-9,0.278,1.19,1.39,1.64
12,Atlético San Luis,35,12,3,20,39,58,64,-6,0.343,1.11,1.66,1.83
13,Mazatlán FC,34,10,8,16,38,46,59,-13,0.294,1.12,1.35,1.74
14,FC Juárez,36,10,8,18,38,48,64,-16,0.278,1.06,1.33,1.78
15,Santos Laguna,34,11,5,18,38,46,62,-16,0.324,1.12,1.35,1.82
16,Club Tijuana,34,8,10,16,34,44,56,-12,0.235,1.0,1.29,1.65
17,Atlas,34,7,10,17,31,35,55,-20,0.206,0.91,1.03,1.62
18,Puebla FC,34,8,6,20,30,42,68,-26,0.235,0.88,1.24,2.0
