position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Tigres UANL,34,19,9,6,66,65,34,31,0.559,1.94,1.91,1.0
2,Cruz Azul,34,19,9,6,66,52,28,24,0.559,1.94,1.53,0.82
3,América,34,18,8,8,62,61,36,25,0.529,1.82,1.79,1.06
4,Monterrey,34,17,9,8,60,58,40,18,0.5,1.76,1.71,1.18
5,León,34,18,5,11,59,59,37,22,0.529,1.74,1.74,1.09
6,Pachuca,34,14,10,10,52,58,44,14,0.412,1.53,1.71,1.29
7,Santos Laguna,34,14,10,10,52,48,41,7,0.412,1.53,1.41,1.21
8,Toluca,34,15,6,13,51,55,45,10,0.441,1.5,1.62,1.32
9,UNAM Pumas,34,12,11,11,47,48,45,3,0.353,1.38,1.41,1.32
10,Club Tijuana,34,13,6,15,45,38,44,-6,0.382,1.32,1.12,1.29
11,Puebla FC,34,11,11,12,44,41,51,-10,0.324,1.29,1.21,1.5
12,Necaxa,34,11,10,13,43,51,53,-2,0.324,1.26,1.5,1.56
13,Lobos BUAP,34,11,6,17,39,38,59,-21,0.324,1.15,1.12,1.74
14,Chivas,34,10,8,16,38,37,43,-6,0.294,1.12,1.09,1.26
15,Monarcas Morelia,34,9,11,14,38,43,57,-14,0.265,1.12,1.26,1.68
16,Querétaro,34,10,7,17,37,30,50,-20,0.294,1.09,0.88,1.47
17,Atlas,34,8,6,20,30,30,55,-25,0.235,0.88,0.88,1.62
18,Veracruz,34,2,8,24,14,24,74,-50,0.059,0.41,0.71,2.18
