id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result
935,2014-07-18,2014,apertura,1,Lobos BUAP,Atlético San Luis,2.0,1.0,FINISHED,3.0,1.0,LOCAL
936,2014-07-18,2014,apertura,1,Correcaminos UAT,Mineros de Zacatecas,0.0,0.0,FINISHED,0.0,0.0,EMPATE
937,2014-07-18,2014,apertura,1,Deportivo Tepic,Zacatepec,1.0,0.0,FINISHED,1.0,1.0,LOCAL
938,2014-07-19,2014,apertura,1,Necaxa,Club Celaya,4.0,3.0,FINISHED,7.0,1.0,LOCAL
939,2014-07-19,2014,apertura,1,Estudiantes de Altamira,Mérida FC,3.0,0.0,FINISHED,3.0,3.0,LOCAL
940,2014-07-19,2014,apertura,1,Alebrijes de Oaxaca,Club Irapuato,2.0,1.0,FINISHED,3.0,1.0,LOCAL
941,2014-07-19,2014,apertura,1,Dorados de Sinaloa,Atlante,1.0,1.0,FINISHED,2.0,0.0,EMPATE
942,2014-07-25,2014,apertura,2,Atlante,Estudiantes de Altamira,2.0,1.0,FINISHED,3.0,1.0,LOCAL
943,2014-07-25,2014,apertura,2,Mineros de Zacatecas,Necaxa,2.0,0.0,FINISHED,2.0,2.0,LOCAL
944,2014-07-26,2014,apertura,2,Mérida FC,Alebrijes de Oaxaca,4.0,2.0,FINISHED,6.0,2.0,LOCAL
945,2014-07-26,2014,apertura,2,Zacatepec,Correcaminos UAT,1.0,1.0,FINISHED,2.0,0.0,EMPATE
946,2014-07-26,2014,apertura,2,Atlético San Luis,Dorados de Sinaloa,4.0,0.0,FINISHED,4.0,4.0,LOCAL
947,2014-07-26,2014,apertura,2,Club Irapuato,Deportivo Tepic,0.0,0.0,FINISHED,0.0,0.0,EMPATE
948,2014-07-26,2014,apertura,2,Club Celaya,Lobos BUAP,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE
949,2014-08-01,2014,apertura,3,Lobos BUAP,Mineros de Zacatecas,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
950,2014-08-01,2014,apertura,3,Deportivo Tepic,Correcaminos UAT,2.0,1.0,FINISHED,3.0,1.0,LOCAL
951,2014-08-02,2014,apertura,3,Necaxa,Zacatepec,2.0,0.0,FINISHED,2.0,2.0,LOCAL
952,2014-08-02,2014,apertura,3,Estudiantes de Altamira,Atlético San Luis,1.0,0.0,FINISHED,1.0,1.0,LOCAL
953,2014-08-02,2014,apertura,3,Alebrijes de Oaxaca,Atlante,4.0,2.0,FINISHED,6.0,2.0,LOCAL
954,2014-08-02,2014,apertura,3,Club Irapuato,Mérida FC,1.0,0.0,FINISHED,1.0,1.0,LOCAL
955,2014-08-02,2014,apertura,3,Dorados de Sinaloa,Club Celaya,2.0,2.0,FINISHED,4.0,0.0,EMPATE
956,2014-08-08,2014,apertura,4,Atlante,Club Irapuato,2.0,1.0,FINISHED,3.0,1.0,LOCAL
957,2014-08-08,2014,apertura,4,Mineros de Zacatecas,Dorados de Sinaloa,1.0,0.0,FINISHED,1.0,1.0,LOCAL
958,2014-08-08,2014,apertura,4,Correcaminos UAT,Necaxa,1.0,0.0,FINISHED,1.0,1.0,LOCAL
959,2014-08-09,2014,apertura,4,Mérida FC,Deportivo Tepic,2.0,3.0,FINISHED,5.0,-1.0,VISITANTE
960,2014-08-09,2014,apertura,4,Zacatepec,Lobos BUAP,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
961,2014-08-09,2014,apertura,4,Atlético San Luis,Alebrijes de Oaxaca,2.0,0.0,FINISHED,2.0,2.0,LOCAL
962,2014-08-09,2014,apertura,4,Club Celaya,Estudiantes de Altamira,2.0,0.0,FINISHED,2.0,2.0,LOCAL
963,2014-08-15,2014,apertura,5,Lobos BUAP,Correcaminos UAT,2.0,3.0,FINISHED,5.0,-1.0,VISITANTE
964,2014-08-15,2014,apertura,5,Deportivo Tepic,Necaxa,2.0,1.0,FINISHED,3.0,1.0,LOCAL
965,2014-08-16,2014,apertura,5,Estudiantes de Altamira,Mineros de Zacatecas,3.0,1.0,FINISHED,4.0,2.0,LOCAL
966,2014-08-16,2014,apertura,5,Mérida FC,Atlante,2.0,4.0,FINISHED,6.0,-2.0,VISITANTE
967,2014-08-16,2014,apertura,5,Alebrijes de Oaxaca,Club Celaya,1.0,1.0,FINISHED,2.0,0.0,EMPATE
968,2014-08-16,2014,apertura,5,Club Irapuato,Atlético San Luis,0.0,0.0,FINISHED,0.0,0.0,EMPATE
969,2014-08-16,2014,apertura,5,Dorados de Sinaloa,Zacatepec,4.0,3.0,FINISHED,7.0,1.0,LOCAL
970,2014-08-22,2014,apertura,6,Atlante,Deportivo Tepic,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
971,2014-08-22,2014,apertura,6,Mineros de Zacatecas,Alebrijes de Oaxaca,2.0,2.0,FINISHED,4.0,0.0,EMPATE
972,2014-08-22,2014,apertura,6,Correcaminos UAT,Dorados de Sinaloa,2.0,2.0,FINISHED,4.0,0.0,EMPATE
973,2014-08-23,2014,apertura,6,Necaxa,Lobos BUAP,1.0,0.0,FINISHED,1.0,1.0,LOCAL
974,2014-08-23,2014,apertura,6,Zacatepec,Estudiantes de Altamira,2.0,1.0,FINISHED,3.0,1.0,LOCAL
975,2014-08-23,2014,apertura,6,Atlético San Luis,Mérida FC,2.0,1.0,FINISHED,3.0,1.0,LOCAL
976,2014-08-23,2014,apertura,6,Club Celaya,Club Irapuato,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
977,2014-08-29,2014,apertura,7,Atlante,Atlético San Luis,1.0,1.0,FINISHED,2.0,0.0,EMPATE
978,2014-08-29,2014,apertura,7,Deportivo Tepic,Lobos BUAP,0.0,0.0,FINISHED,0.0,0.0,EMPATE
979,2014-08-30,2014,apertura,7,Estudiantes de Altamira,Correcaminos UAT,1.0,0.0,FINISHED,1.0,1.0,LOCAL
980,2014-08-30,2014,apertura,7,Mérida FC,Club Celaya,3.0,0.0,FINISHED,3.0,3.0,LOCAL
981,2014-08-30,2014,apertura,7,Alebrijes de Oaxaca,Zacatepec,1.0,1.0,FINISHED,2.0,0.0,EMPATE
982,2014-08-30,2014,apertura,7,Club Irapuato,Mineros de Zacatecas,2.0,4.0,FINISHED,6.0,-2.0,VISITANTE
983,2014-08-30,2014,apertura,7,Dorados de Sinaloa,Necaxa,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
984,2014-09-12,2014,apertura,8,Lobos BUAP,Dorados de Sinaloa,3.0,0.0,FINISHED,3.0,3.0,LOCAL
985,2014-09-12,2014,apertura,8,Mineros de Zacatecas,Mérida FC,0.0,0.0,FINISHED,0.0,0.0,EMPATE
986,2014-09-12,2014,apertura,8,Correcaminos UAT,Alebrijes de Oaxaca,1.0,0.0,FINISHED,1.0,1.0,LOCAL
987,2014-09-13,2014,apertura,8,Necaxa,Estudiantes de Altamira,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
988,2014-09-13,2014,apertura,8,Zacatepec,Club Irapuato,3.0,0.0,FINISHED,3.0,3.0,LOCAL
989,2014-09-13,2014,apertura,8,Atlético San Luis,Deportivo Tepic,1.0,3.0,FINISHED,4.0,-2.0,VISITANTE
990,2014-09-13,2014,apertura,8,Club Celaya,Atlante,2.0,2.0,FINISHED,4.0,0.0,EMPATE
991,2014-09-20,2014,apertura,9,Estudiantes de Altamira,Lobos BUAP,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE
992,2014-09-20,2014,apertura,9,Atlante,Mineros de Zacatecas,1.0,1.0,FINISHED,2.0,0.0,EMPATE
993,2014-09-20,2014,apertura,9,Deportivo Tepic,Dorados de Sinaloa,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
