season_id,season_label,club_name,club_url,matchday,date_raw,date,time,venue,ranking,opponent,result,status,system_of_play,attendance,home_team,away_team,home_score,away_score
2026,2026/2027,Atlas Guadalajara,https://www.transfermarkt.com/atlas-guadalajara/spielplan/verein/8590/saison_id/2026,1,Sat 18/07/2026,2026-07-18T00:00:00,3:00 AM,A,(3.),León,2:3,FINISHED,4-2-3-1,24.997,León,Atlas Guadalajara,3.0,2.0
2026,2026/2027,Atlas Guadalajara,https://www.transfermarkt.com/atlas-guadalajara/spielplan/verein/8590/saison_id/2026,2,Sun 26/07/2026,2026-07-26T00:00:00,5:00 AM,A,(4.),Santos Laguna,0:1,FINISHED,,,Santos Laguna,Atlas Guadalajara,1.0,0.0
2026,2026/2027,Atlas Guadalajara,https://www.transfermarkt.com/atlas-guadalajara/spielplan/verein/8590/saison_id/2026,3,Sun 02/08/2026,2026-08-02T00:00:00,3:00 AM,H,(3.),Monterrey,-:-,SCHEDULED,,,Atlas Guadalajara,Monterrey,,
2026,2026/2027,Atlas Guadalajara,https://www.transfermarkt.com/atlas-guadalajara/spielplan/verein/8590/saison_id/2026,4,Sun 16/08/2026,2026-08-16T00:00:00,5:00 AM,H,nan,Tigres UANL,-:-,SCHEDULED,,,Atlas Guadalajara,Tigres UANL,,
2026,2026/2027,Atlas Guadalajara,https://www.transfermarkt.com/atlas-guadalajara/spielplan/verein/8590/saison_id/2026,5,Sun 23/08/2026,2026-08-23T00:00:00,5:00 AM,A,nan,CD Cruz Azul,-:-,SCHEDULED,,,CD Cruz Azul,Atlas Guadalajara,,
2026,2026/2027,Atlas Guadalajara,https://www.transfermarkt.com/atlas-guadalajara/spielplan/verein/8590/saison_id/2026,6,Sun 30/08/2026,2026-08-30T00:00:00,1:00 AM,H,nan,Querétaro FC,-:-,SCHEDULED,,,Atlas Guadalajara,Querétaro FC,,
2026,2026/2027,Atlas Guadalajara,https://www.transfermarkt.com/atlas-guadalajara/spielplan/verein/8590/saison_id/2026,7,Sun 06/09/2026,2026-09-06T00:00:00,5:00 AM,H,nan,Atlante,-:-,SCHEDULED,,,Atlas Guadalajara,Atlante,,
2026,2026/2027,Atlas Guadalajara,https://www.transfermarkt.com/atlas-guadalajara/spielplan/verein/8590/saison_id/2026,8,Sun 13/09/2026,2026-09-13T00:00:00,Unknown,A,nan,Toluca,-:-,SCHEDULED,,,Toluca,Atlas Guadalajara,,
2026,2026/2027,Atlas Guadalajara,https://www.transfermarkt.com/atlas-guadalajara/spielplan/verein/8590/saison_id/2026,9,Sun 20/09/2026,2026-09-20T00:00:00,1:00 AM,H,nan,UNAM Pumas,-:-,SCHEDULED,,,Atlas Guadalajara,UNAM Pumas,,
2026,2026/2027,Atlético de San Luis,https://www.transfermarkt.com/atletico-de-san-luis/spielplan/verein/40188/saison_id/2026,1,Sat 18/07/2026,2026-07-18T00:00:00,3:00 AM,H,(13.),CD Cruz Azul,2:3,FINISHED,3-4-2-1,21.945,Atlético de San Luis,CD Cruz Azul,2.0,3.0
