position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,form,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Arsenal FC,0,0,0,0,0,0,0,0,,,,,
2,Coventry City FC,0,0,0,0,0,0,0,0,,,,,
3,Hull City AFC,0,0,0,0,0,0,0,0,,,,,
4,Manchester United FC,0,0,0,0,0,0,0,0,,,,,
5,Ipswich Town FC,0,0,0,0,0,0,0,0,,,,,
6,Sunderland AFC,0,0,0,0,0,0,0,0,,,,,
7,Nottingham Forest FC,0,0,0,0,0,0,0,0,,,,,
8,Leeds United FC,0,0,0,0,0,0,0,0,,,,,
9,Everton FC,0,0,0,0,0,0,0,0,,,,,
10,Crystal Palace FC,0,0,0,0,0,0,0,0,,,,,
11,Brentford FC,0,0,0,0,0,0,0,0,,,,,
12,Tottenham Hotspur FC,0,0,0,0,0,0,0,0,,,,,
13,Manchester City FC,0,0,0,0,0,0,0,0,,,,,
14,AFC Bournemouth,0,0,0,0,0,0,0,0,,,,,
15,Brighton & Hove Albion FC,0,0,0,0,0,0,0,0,,,,,
16,Aston Villa FC,0,0,0,0,0,0,0,0,,,,,
17,Newcastle United FC,0,0,0,0,0,0,0,0,,,,,
18,Liverpool FC,0,0,0,0,0,0,0,0,,,,,
19,Fulham FC,0,0,0,0,0,0,0,0,,,,,
20,Chelsea FC,0,0,0,0,0,0,0,0,,,,,
