position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Liverpool FC,38,25,9,4,84,86,41,45,0.658,2.21,2.26,1.08
2,Arsenal FC,38,20,14,4,74,69,34,35,0.526,1.95,1.82,0.89
3,Manchester City FC,38,21,8,9,71,72,44,28,0.553,1.87,1.89,1.16
4,Chelsea FC,38,20,9,9,69,64,43,21,0.526,1.82,1.68,1.13
5,Newcastle United FC,38,20,6,12,66,68,47,21,0.526,1.74,1.79,1.24
6,Aston Villa FC,38,19,9,10,66,58,51,7,0.5,1.74,1.53,1.34
7,Nottingham Forest FC,38,19,8,11,65,58,46,12,0.5,1.71,1.53,1.21
8,Brighton & Hove Albion FC,38,16,13,9,61,66,59,7,0.421,1.61,1.74,1.55
9,AFC Bournemouth,38,15,11,12,56,58,46,12,0.395,1.47,1.53,1.21
10,Brentford FC,38,16,8,14,56,66,57,9,0.421,1.47,1.74,1.5
11,Fulham FC,38,15,9,14,54,54,54,0,0.395,1.42,1.42,1.42
12,Crystal Palace FC,38,13,14,11,53,51,51,0,0.342,1.39,1.34,1.34
13,Everton FC,38,11,15,12,48,42,44,-2,0.289,1.26,1.11,1.16
14,West Ham United FC,38,11,10,17,43,46,62,-16,0.289,1.13,1.21,1.63
15,Manchester United FC,38,11,9,18,42,44,54,-10,0.289,1.11,1.16,1.42
16,Wolverhampton Wanderers FC,38,12,6,20,42,54,69,-15,0.316,1.11,1.42,1.82
17,Tottenham Hotspur FC,38,11,5,22,38,64,65,-1,0.289,1.0,1.68,1.71
18,Leicester City FC,38,6,7,25,25,33,80,-47,0.158,0.66,0.87,2.11
19,Ipswich Town FC,38,4,10,24,22,36,82,-46,0.105,0.58,0.95,2.16
20,Southampton FC,38,2,6,30,12,26,86,-60,0.053,0.32,0.68,2.26
